議員氏名,読み方,議員氏名(本名),性別,会派(最終),選挙回次等,選挙区(最終),備考,西暦
今泉  隆雄,いまいずみ たかお,,男,参議院クラブ,第14回(昭61)繰上(平元.6.16)、逝去(平4.5.11),比例代表,,1986
今泉  政喜,いまいづみ まさき,,男,自由党,第1回(昭22)[3年任期],佐賀県,,1947
井村  徳二,いむら とくじ,,男,自由民主党,第3回(昭28)、逝去(昭33.10.27),石川県,,1953
伊能  芳雄,いよく よしお,,男,自由民主党,第3回(昭28),群馬県,,1953
入澤   肇,いりさわ はじむ,,男,自由民主党,第18回(平10),比例代表,,1998
入交  太藏,いりまじり たぞう,,男,自由民主党,第1回(昭22)[3年任期]、第2回(昭25),高知県,,1947-1950
岩井  國臣,いわい くにおみ,,男,自由民主党,第17回(平7)、第19回(平13),比例代表,,1995-2001
岩井  茂樹,いわい しげき,,男,自由民主党・国民の声,第22回(平22)、第24回(平28)、辞職(令3.5.14),静岡県,,2010-2016
岩男  頴一,いわお ひでかず,,男,自由民主党,第10回(昭49)、逝去(昭51.8.9),大分県,,1974
岩上  妙子,いわかみ たえこ,,女,自由民主党・自由国民会議,第10回(昭49)、辞職(昭52.12.21),茨城県,,1974
岩上  二郎,いわかみ にろう,,男,自由民主党,第10回(昭49)補欠(昭53.2.5)、第12回(昭55)、第14回(昭61)、逝去(平元.8.16),茨城県,,1974-1980-1986
岩木  哲夫,いわき てつお,,男,改進党,第1回(昭22),大阪府,,1947
岩城  光英,いわき みつひで,,男,自由民主党,第18回(平10)、第20回(平16)、第22回(平22),福島県,,1998-2004-2010
岩佐  恵美,いわさ えみ,,女,日本共産党,第18回(平10),比例代表,,1998
岩崎  純三,いわさき じゅんぞう,,男,自由民主党・保守党,第11回(昭52)、第13回(昭58)、第15回(平元)、第17回(平7),栃木県,,1977-1983-1989-1995
岩崎 正三郎,いわさき しょうざぶろう,,男,日本社会党(第二控室)〔右〕,第1回(昭22),栃木県,,1947
岩崎  昭弥,いわさき しょうや,,男,日本社会党・護憲民主連合,第15回(平元)補欠(平5.7.18),岐阜県,,1989
岩沢  忠恭,いわさわ ただやす,,男,自由民主党,第2回(昭25)、第4回(昭31)、第6回(昭37)、逝去(昭40.12.8),広島県,,1950-1956-1962
岩瀬  良三,いわせ りょうぞう,,男,自由民主党・保守党,第17回(平7)、辞職(平13.3.7),千葉県,,1995
岩永  浩美,いわなが ひろみ,,男,自由民主党,第16回(平7)補欠(平7.11.19)、第18回(平10)、第20回(平16),佐賀県,,1995-1998-2004
岩間  正男,いわま まさお,,男,日本共産党,第1回(昭22)、第4回(昭31)、第6回(昭37)、第8回(昭43)、第10回(昭49)[3年任期],全国,,1947-1956-1962-1968-1974
岩本  月洲,いわもと げっしゅう,,男,自由党,第1回(昭22)[3年任期],広島県,,1947
岩本  荘太,いわもと そうた,,男,無所属の会,第18回(平10),石川県,,1998
岩本   司,いわもと つかさ,,男,民主党・新緑風会,第19回(平13)、第21回(平19),福岡県,,2001-2007
岩本  久人,いわもと ひさと,,男,日本社会党・護憲民主連合,第15回(平元),島根県,,1989
岩本  政一,いわもと まさいち,,男,自由民主党,第9回(昭46),北海道,,1971
岩本  政光,いわもと まさみつ,,男,自由民主党・自由国民会議,第12回(昭55)、第14回(昭61),北海道,,1980-1986
岩男  仁藏,いわを じんぞう,,男,改進党,第1回(昭22),大分県,,1947
植垣 弥一郎,うえがき やいちろう,,男,自由民主党,第5回(昭34),全国,,1959
植木  光教,うえき みつのり,,男,自由民主党,第5回(昭34)補欠(昭38.12.10)、第7回(昭40)、第9回(昭46)、第11回(昭52)、第13回(昭58),京都府,,1959-1965-1971-1977-1983
上杉  光弘,うえすぎ みつひろ,,男,自由民主党,第14回(昭61)、第16回(平4)、第18回(平10),宮崎県,,1986-1992-1998
上田 耕一郎,うえだ こういちろう,,男,日本共産党,第10回(昭49)、第12回(昭55)、第14回(昭61)、第16回(平4),東京都,,1974-1980-1986-1992
上田   哲,うえだ てつ,,男,日本社会党,第8回(昭43)、第10回(昭49)、退職[公選90](昭54.9.17),東京都,,1968-1974
上田   稔,うえだ みのる,,男,自由民主党・自由国民会議,第8回(昭43)、第10回(昭49)[3年任期]、第10回(昭49)補欠(昭53.4.23)、第12回(昭55),京都府,,1968-1974-1974-1980
植竹  春彦,うえたけ はるひこ,,男,自由民主党,第1回(昭22)[3年任期]、第2回(昭25)、第4回(昭31)、第6回(昭37)、第8回(昭43),栃木県,,1947-1950-1956-1962-1968
上野喜左衞門,うえの きざえもん,,男,緑風会,第1回(昭22)[3年任期]、辞職(昭22.7.4),鹿児島県,,1947
上野  公成,うえの こうせい,,男,自由民主党,第16回(平4)、第18回(平10),群馬県,,1992-1998
上野  ひろし,うえの ひろし,上野  宏史,男,みんなの党,第22回、退職[公選90](平24.12.4),比例代表,,
上野  雄文,うえの ゆうぶん,,男,日本社会党・護憲民主連合,第11回(昭52)補欠(昭58.2.13)、第13回(昭58)、第15回(平元),栃木県,,1977-1983-1989
上原  正吉,うえはら しょうきち,,男,自由民主党,第2回(昭25)、第4回(昭31)、第6回(昭37)、第8回(昭43)、第10回(昭49),埼玉県,,1950-1956-1962-1968-1974
植松  恵美子,うえまつ えみこ,,女,民主党・新緑風会,第21回(平19),香川県,,2007
魚住  汎英,うおずみ ひろひで,,男,自由民主党,第17回(平7)補欠(平12.4.16)、第19回(平13),熊本県,,1995-2001
魚住 裕一郎,うおずみ ゆういちろう,,男,公明,第17回(平7)、第19回(平13)、第21回(平19)、第23回(平25),比例代表,,1995-2001-2007-2013
宇垣  一成,うがき かずしげ,,男,緑風会,第3回(昭28)、逝去(昭31.4.30),全国,,1953
浮島 とも子,うきしま ともこ,井之上 智子,女,公明党,第20回(平16),比例代表,,2004
牛嶋   正,うしじま ただし,,男,公明,第16回(平4),比例代表,,1992
牛田   寛,うしだ ひろし,,男,公明党,第5回(昭34)、逝去(昭40.1.10),全国,,1959
臼井  莊一,うすい そういち,,男,自由民主党・自由国民会議,第11回(昭52)補欠(昭56.3.8),千葉県,,1977
内田  善利,うちだ ぜんり,,男,公明党,第8回(昭43)、第10回(昭49),全国,,1968-1974
内田  芳郎,うちだ よしろう,,男,自由民主党,第7回(昭40),全国,,1965
内村  清次,うちむら せいじ,,男,日本社会党,第1回(昭22)[3年任期]、第2回(昭25)、第4回(昭31),全国,,1947-1950-1956
宇都宮 徳馬,うつのみや とくま,,男,各派に属しない議員,第12回(昭55)、第14回(昭61),比例代表,,1980-1986
宇都宮  登,うつのみや のぼる,,男,緑風会,第1回(昭22)[3年任期],島根県,,1947
宇都  隆史,うと たかし,,男,自由民主党・国民の声,第22回(平22)、第24回(平28),比例代表,,2010-2016
有働  正治,うどう まさはる,,男,日本共産党,第16回(平4),比例代表,,1992
海野  義孝,うみの よしたか,,男,公明党,第17回(平7),比例代表,,1995
梅津  錦一,うめず きんいち,,男,日本社会党(第四控室)〔左〕,第1回(昭22),群馬県,,1947
梅原  眞隆,うめはら しんりゅう,,男,緑風会,第1回(昭22),全国,,1947
浦田   勝,うらた まさる,,男,自由民主党,第13回(昭58)、第16回(平4),熊本県,,1983-1992
占部  秀男,うらべ ひでお,,男,日本社会党,第4回(昭31)、第6回(昭37)、第8回(昭43),東京都,,1956-1962-1968
瓜生   清,うりう きよし,,男,民社党,第7回(昭40)、逝去(昭45.11.9),全国,,1965
海野  三朗,うんの さぶろう,,男,日本社会党,第3回(昭28),山形県,,1953
海野   徹,うんの とおる,,男,民主党・新緑風会,第18回(平10),静岡県,,1998
江口  克彦,えぐち かつひこ,,男,おおさか維新の会,第22回(平22),比例代表,,2010
江熊  哲翁,えくま てつお,,男,緑風会,第1回(昭22)[3年任期],全国,,1947
江崎   孝,えさき たかし,,男,立憲民主・社民,第22回(平22)、第24回(平28),比例代表,,2010-2016
江島   淳,えじま あつし,,男,自由民主党,第12回(昭55)、第14回(昭61)、逝去(昭62.5.25),山口県,,1980-1986
江田  五月,えだ さつき,,男,民進党・新緑風会,第11回(昭52)、第18回(平10)、第20回(平16)、第22回(平22),岡山県,議長(第27代),1977-1998-2004-2010
江田  三郎,えだ さぶろう,,男,日本社会党,第2回(昭25)、第4回(昭31),岡山県,,1950-1956
江藤   智,えとう あきら,,男,自由民主党・自由国民会議,第4回(昭31)、第6回(昭37)、第8回(昭43)、第10回(昭49)、第12回(昭55)、逝去(昭57.6.26),全国,,1956-1962-1968-1974-1980
衛藤 征士郎,えとう せいしろう,,男,自由民主党・自由国民会議,第11回(昭52),大分県,,1977
海老原 義彦,えびはら よしひこ,,男,自由民主党・保守党,第17回(平7),比例代表,,1995
江本  孟紀,えもと たけのり,,男,各派に属しない議員,第16回(平4)、第18回(平10)、退職[公選90](平16.1.15),比例代表,,1992-1998
遠藤   要,えんどう かなめ,,男,自由民主党,第10回(昭49)、第12回(昭55)、第14回(昭61)、第16回(平4),宮城県,,1974-1980-1986-1992
遠藤  政夫,えんどう まさお,,男,自由民主党・自由国民会議,第11回(昭52)、第13回(昭58),福岡県,,1977-1983
遠藤  柳作,えんどう りゅうさく,,男,自由民主党,第2回(昭25)補欠(昭30.6.5),埼玉県,,1950
及川  一夫,おいかわ かずお,,男,社会民主党・護憲連合,第14回(昭61)、第16回(平4),比例代表,,1986-1992
及川  順郎,おいかわ じゅんろう,,男,公明,第14回(昭61)、第16回(平4),比例代表,,1986-1992
大石  尚子,おおいし ひさこ,,女,民主党・新緑風会,第21回(平19)繰上(平19.12.28),比例代表,,2007
大石  武一,おおいし ぶいち,,男,新自由クラブ民主連合,第11回(昭52),宮城県,,1977
大石  正光,おおいし まさみつ,,男,民主党・新緑風会,第20回(平16),比例代表,,2004
