word,count
参議,4
帰国,4
本部,4
的確,4
直結,4
発出,4
限,4
千,4
七百,4
衛星,4
監視,4
同士,4
文,4
拒否,4
心配,4
番,4
延長,4
停戦,4
見解,4
検証,4
発揮,4
武装,4
人的,4
両輪,4
捜査,4
管轄,4
固有,4
範囲,4
相違,4
設立,4
法廷,4
運営,4
官,4
促進,4
個人,4
働き掛け,4
保護,4
率先,4
戦後,4
醸成,4
どおり,4
各種,4
ＮＡＴＯ,4
開会,4
長い,4
志,4
まさに,4
難しい,4
力強く,4
間柄,4
視線,4
アラブ,4
共存,4
共栄,4
暫定,4
自助,4
自立,4
いかに,4
みずから,4
品,4
発足,4
企画,4
立案,4
機能,4
急,4
自ら,4
まま,4
輸出,4
追加,4
なん,4
地震,4
結論,4
向け,4
司令,4
モッ,4
タキ,4
全然,4
濃縮,4
道筋,4
効力,4
方々,4
テロリズム,4
定義,4
戦い,4
先制,4
心情,4
友情,4
づくり,4
日豪,4
活性,4
いまだ,4
香港,4
信条,4
勃発,3
サンフランシスコ,3
単独,3
カ国,3
違い,3
七十,3
シナ,3
機運,3
介護,3
一部,3
改正,3
強力,3
コミットメント,3
高まり,3
厳重,3
抗議,3
再び,3
党首,3
あらかじめ,3
文章,3
作成,3
海賊,3
喫緊,3
大国,3
町村,3
自動,3
大学,3
悪化,3
底割れ,3
活力,3
成立,3
回復,3
手当,3
一人,3
サービス,3
充実,3
定員,3
職業,3
生活,3
期間,3
料金,3
無料,3
地方,3
毎年,3
管理,3
低,3
炭素,3
革命,3
転換,3
見通し,3
要素,3
反映,3
注目,3
誤解,3
本人,3
前進,3
プロジェクト,3
ＷＨＯ,3
提供,3
連合,3
米朝,3
事前,3
例えば,3
ゼロ,3
反応,3
ちゃんと,3
自治,3
即時,3
建設,3
犠牲,3
まこと,3
清算,3
調査,3
電気,3
パワー,3
査察,3
正当,3
憲章,3
章,3
決断,3
表現,3
有効,3
終結,3
誕生,3
大戦,3
世紀,3
運動,3
通告,3
久間,3
ダルフール,3
訴追,3
補完,3
被疑,3
鋭意,3
従来,3
海兵,3
加速,3
海上,3
汗,3
使命,3
しかも,3
往来,3
結束,3
否定,3
少ない,3
構想,3
なし,3
大使,3
妥結,3
感,3
知的,3
ミレニアム,3
新興,3
ポップ,3
力強い,3
正に,3
なるべく,3
注力,3
内乱,3
混乱,3
うまく,3
よろしく,3
入港,3
再開,3
文言,3
ＡＰＥＣ,3
訪日,3
極,3
緒方,3
日間,3
じゅう,3
意識,3
駄目,3
同じ,3
要求,3
山口,3
毅然,3
生還,3
安倍,3
増額,3
ずっと,3
時々,3
結構,3
日華,3
ふだん,3
直ちに,3
特措,3
現地,3
石油,3
依存,3
発信,3
テポドン,3
正直,3
午前,3
午後,3
外相,3
伸び,3
おたく,3
なかっ,3
青少年,3
もっと,3
ワシントン,3
ＤＣ,3
ラムズフェルド,3
ウラン,3
当方,3
訪米,3
謝意,3
利害,3
区切り,3
両方,3
各々,3
各,3
好ましい,3
並行,3
使用,3
公共,3
誠心,3
割合,3
災害,3
気持ち,3
とても,3
七千,3
比,3
ぜひ,3
五百,3
疑い,3
成熟,3
裏,3
果実,3
ニュージーランド,3
粘り強い,3
率,3
納得,3
業務,3
行財政,3
生産,3
流通,3
販売,3
購入,3
日韓,3
ソ連,2
ハンガリー,2
子供,2
米ソ,2
壁,2
惨禍,2
廃絶,2
指標,2
主催,2
逆行,2
育児,2
休業,2
又,2
保険,2
米韓,2
傘,2
口頭,2
新しく,2
就任,2
どちら,2
若しくは,2
担当,2
事件,2
不変,2
日独,2
ドイツ,2
首相,2
部品,2
科学,2
総額,2
急速,2
両立,2
応援,2
不況,2
保育,2
大幅,2
養成,2
視点,2
好転,2
収入,2
債務,2
償還,2
配慮,2
繰り,2
健康,2
長寿,2
間接,2
予想,2
想定,2
金,2
プログラム,2
持続,2
返還,2
議決,2
調整,2
予定,2
念頭,2
一丸,2
残余,2
挑発,2
六百,2
九十,2
討議,2
宇宙,2
話合い,2
か月,2
局,2
ロケット,2
半,2
実際,2
本当,2
勘案,2
働きかけ,2
過程,2
フセイン,2
首席,2
底力,2
制約,2
農林,2
水産,2
業,2
創出,2
確信,2
創設,2
フル,2
らしい,2
ソフト,2
解除,2
団,2
か国,2
あの,2
ずらっ,2
果たして,2
覚悟,2
たびたび,2
詳しく,2
章生,2
犬塚,2
スーダン,2
付託,2
真実,2
真相,2
否,2
一概,2
常設,2
あくまで,2
請求,2
該当,2
検察,2
殺害,2
未,2
概念,2
発生,2
付与,2
長期,2
半分,2
盤石,2
重複,2
書,2
強固,2
メカニズム,2
状態,2
空軍,2
母艦,2
艦船,2
移動,2
衆議,2
秩序,2
要員,2
無,2
頻発,2
宗派,2
文民,2
遂行,2
敗戦,2
進路,2
はるか,2
福利,2
営々,2
別名,2
極小,2
本来,2
務め,2
必須,2
有余,2
外周,2
一帯,2
点在,2
輪,2
豊か,2
異国,2
産物,2
浮き沈み,2
近現代,2
史,2
実践,2
先進,2
道のり,2
ランナー,2
英,2
仏,2
独,2
礎,2
内実,2
浮き彫り,2
連立,2
方程,2
式,2
方途,2
四百,2
とみに,2
立脚,2
センシティビティー,2
注意,2
米豪,2
日印,2
伴走,2
セブ,2
若者,2
不動,2
ただし,2
窓口,2
合法,2
解体,2
真剣,2
同国,2
献身,2
回廊,2
ヨルダン,2
渓谷,2
アイデア,2
歩,2
アッバース,2
とりわけ,2
招集,2
核心,2
削減,2
貧富,2
格差,2
均衡,2
助言,2
放置,2
難題,2
範,2
痛感,2
現場,2
準備,2
ウィーン,2
重責,2
長年,2
短く,2
鉱工業,2
アクセス,2
バランス,2
スピード,2
財産,2
大洋,2
州,2
中央,2
コーカサス,2
源,2
温暖,2
バイオ,2
燃料,2
気候,2
リーダーシップ,2
新,2
界,2
ＮＧＯ,2
オール,2
ジャパン,2
対外,2
夢,2
空,2
威張り,2
カルチャー,2
サブカルチャー,2
語,2
メディア,2
激しい,2
要路,2
重,2
人員,2
焦眉,2
襟,2
一瞬,2
鞭撻,2
中・東欧,2
無視,2
たしか,2
最中,2
よかっ,2
傍ら,2
森,2
全員,2
生存,2
最近,2
独自,2
誠実,2
既存,2
前文,2
論,2
米,2
北京,2
昇格,2
当局,2
保有,2
いざ,2
ほぼ,2
車輪,2
効率,2
基軸,2
愛知,2
幾ら,2
丸谷,2
ＮＰＴ,2
とにかく,2
ＣＴＢＴ,2
いっぱい,2
供給,2
イニシアチブ,2
破棄,2
ノドン,2
確約,2
詳細,2
リード,2
爆発,2
籍,2
品目,2
入国,2
なけれ,2
幾,2
フォークランド,2
方向,2
今津,2
柏村,2
連帯,2
地理,2
カ月,2
小泉,2
台湾,2
海峡,2
厳しく,2
ぶり,2
渡航,2
残り,2
にくい,2
もちろん,2
装備,2
公式,2
詳しい,2
カタール,2
年内,2
正確,2
引用,2
だんだん,2
アザデガン,2
正式,2
今度,2
不測,2
かれこれ,2
合致,2
にこにこ,2
前方,2
大義,2
雰囲気,2
歳,2
ほとんど,2
仁川,2
途中,2
独立,2
中華,2
吉田,2
茂,2
こちら,2
接点,2
孤立,2
西半,2
先方,2
ゼーリック,2
副,2
労務,2
給与,2
公用,2
調達,2
全般,2
本件,2
合理,2
水準,2
特定,2
良い,2
追求,2
僕,2
気,2
ＧＮＩ,2
数字,2
大体,2
一元,2
北九州,2
昭和,2
論議,2
夜,2
遠心,2
イニシアティブ,2
政情,2
歩み,2
思想,2
幸せ,2
古今,2
飛躍,2
信奉,2
歓迎,2
冷静,2
大局,2
切磋,2
琢磨,2
姿,2
潮流,2
おのおの,2
先達,2
原点,2
ゆえ,2
標語,2
起因,2
導き,2
両,2
明るい,2
図,2
初,2
規範,2
封じ込め,2
共催,2
三千,2
さき,2
プーチン,2
８,2
活発,2
記念,2
舞台,2
あたかも,2
険しい,2
全,2
任期,2
邁進,2
じき,2
再発,2
専門,2
同案,2
最多,2
思い,2
統治,2
道半ば,2
胸突き,2
八丁,2
建国,2
一助,2
マレーシア,2
通称,2
弾み,2
津波,2
指導,2
工夫,2
安寧,2
惨害,2
復旧,2
主に,2
鋭い,2
本質,2
洞察,2
頭脳,2
国内外,2
岸,2
以後,2
がちゃがちゃ,1
えらく,1
新聞,1
ポーランド,1
米中,1
水域,1
北,1
守り,1
随分,1
福祉,1
細目,1
一昨,1
気運,1
祝い,1
ようやく,1
政党,1
鳩山,1
端,1
世論,1
正しく,1
早め,1
何分,1
目下,1
艦隊,1
プラハ,1
帰途,1
統合,1
クラウス,1
バローゾ,1
メルケル,1
トポラーネク,1
社,1
進出,1
工業,1
製品,1
スピーチ,1
フンボルト,1
克服,1
なり,1
直嶋,1
落ち込み,1
国費,1
幼稚,1
園,1
小,1
学校,1
就学,1
子,1
当たり,1
六千,1
支給,1
幼児,1
教育,1
期,1
家庭,1
こども,1
不足,1
都,1
府,1
医学,1
増員,1
秋,1
正規,1
給付,1
ハロー,1
ワーク,1
セーフティー,1
ネット,1
割引,1
首都,1
税金,1
きめ細かく,1
引下げ,1
内需,1
家計,1
可,1
処分,1
所得,1
民需,1
自律,1
動き,1
経路,1
リスク,1
回避,1
見込み,1
決算,1
課税,1
実績,1
確度,1
見積り,1
公債,1
仮定,1
歳出,1
改訂,1
財源,1
位置,1
付け,1
附則,1
メドベージェフ,1
都合,1
中曽根,1
五島,1
流れ,1
深く,1
反省,1
余地,1
当初,1
慎重,1
タイ,1
温,1
家宝,1
ぎりぎり,1
幅広く,1
復帰,1
船主,1
協会,1
チーム,1
本法,1
豚,1
本日,1
フェーズ,1
水際,1
与謝野,1
馨,1
土壌,1
汚染,1
共々,1
山本,1
複雑,1
ゲーム,1
担保,1
ウオッチ,1
岩永,1
浩美,1
退席,1
着席,1
スタッフ,1
スタート,1
念,1
強行,1
田中,1
ガザ,1
永続,1
妥当,1
市民,1
痛ましく,1
サダム,1
非核,1
不幸,1
やり直し,1
先行,1
方策,1
先取り,1
果敢,1
明るく,1
住宅,1
用,1
太陽,1
光,1
発電,1
導入,1
補助,1
新エネ,1
設備,1
全額,1
損金,1
算入,1
車重,1
水田,1
農地,1
所有,1
担い手,1
農,1
商工,1
ビジネス,1
おいしく,1
食べ物,1
大胆,1
パッケージ,1
中川,1
昭一,1
やつ,1
長けれ,1
権限,1
合計,1
エルバラダイ,1
消極,1
レポート,1
疑問,1
大綱,1
項,1
前項,1
戦闘,1
一応,1
賛意,1
神風,1
打開,1
実,1
再建,1
温床,1
提示,1
直前,1
フランス,1
票,1
棄権,1
ガチャ,1
チャ,1
ルワンダ,1
ガ,1
チャチャ,1
東チモール,1
会下,1
解明,1
個別,1
逮捕,1
状,1
引渡,1
証拠,1
極東,1
異議,1
事後,1
罪刑,1
法定,1
遡及,1
刑法,1
公判,1
包囲,1
網,1
一翼,1
上述,1
広報,1
カンボジア,1
罪,1
極端,1
事務,1
職員,1
乏しい,1
信託,1
命令,1
賠償,1
長勢,1
甚遠,1
長島,1
家,1
平時,1
現存,1
所要,1
精力,1
有,1
何せ,1
条項,1
遠藤,1
在沖,1
多国,1
重層,1
全域,1
フォーラム,1
有益,1
先輩,1
心理,1
飛行,1
手薄,1
オペレーション,1
ぐあい,1
逸脱,1
模索,1
望ましい,1
寧辺,1
封印,1
初期,1
以内,1
人工,1
意図,1
衝突,1
対立,1
激化,1
遵守,1
各地,1
最適,1
任,1
全う,1
役目,1
すなわち,1
中東欧,1
勧告,1
チャンス,1
同じく,1
近い,1
鎮圧,1
鎮火,1
スンニ,1
派,1
少数,1
宗教,1
派閥,1
少なかっ,1
産み,1
苦しみ,1
制,1
拝命,1
ゆうこ,1
生命,1
究明,1
容疑,1
引渡し,1
場裏,1
外国,1
船籍,1
船舶,1
物品,1
奢侈,1
運び,1
先日,1
韓,1
露,1
深い,1
主,1
そもそも,1
登場,1
疑わしい,1
ギャランティー,1
保証,1
おれ,1
動揺,1
レンジ,1
テロリスト,1
一斉,1
取り急ぎ,1
白,1
泰明,1
参画,1
ディターランス,1
普通,1
商,1
もし,1
搬送,1
ノンプロリファレーション・トリーティー,1
弱体,1
メンバー,1
あと,1
議定,1
原子,1
ＮＳＧ,1
ＰＳＩ,1
プロリファレーション・セキュリティー,1
大勢,1
推測,1
域,1
枚,1
紙,1
ぺら,1
役,1
搭載,1
騒動,1
内,1
再三,1
警告,1
後ほど,1
未明,1
受け入れ,1
変容,1
出現,1
予断,1
懸命,1
法案,1
ニューヨーク,1
大気,1
サンプル,1
地下,1
放射,1
物質,1
検出,1
気象,1
通常,1
自然,1
波形,1
波,1
探知,1
加味,1
船,1
厳格,1
二者,1
閣議,1
中止,1
軍,1
凍結,1
明記,1
挿入,1
明白,1
アルゼンチン,1
感覚,1
取りつけ,1
三国,1
次々,1
会社,1
商売,1
つき合い,1
積み重ね,1
武昭,1
一千,1
旧,1
ソ,1
連邦,1
コンパクト,1
積み増し,1
アニメ,1
漫画,1
Ｊ,1
魅力,1
石原,1
確率,1
遠い,1
ヨーロッパ,1
興味,1
距離,1
当たり前,1
１,1
厚かっ,1
余り,1
ありがたく,1
ありがたい,1
またぞろ,1
近々,1
きな臭い,1
航行,1
阻害,1
要因,1
糾弾,1
ルート,1
官房,1
朝,1
正午,1
万景,1
峰,1
出入国,1
制限,1
潘,1
基文,1
通商,1
李,1
肇星,1
ドゥースト・ブラジー・フランス,1
ベケット,1
英国,1
密接,1
全土,1
危険,1
自粛,1
寺田,1
定量,1
やすい,1
台,1
人口,1
多い,1
せい,1
旧式,1
ピッチ,1
紛れ,1
年鑑,1
けた,1
柄,1
二千,1
複利,1
計算,1
伸び率,1
不安,1
提起,1
久しく,1
狭義,1
深化,1
さま,1
高木,1
ただただ,1
追従,1
性格,1
昨今,1
横田,1
即応,1
キャンプ,1
座間,1
よい,1
処置,1
半年,1
悪く,1
ぼろかす,1
知り合い,1
だめ,1
埋蔵,1
場所,1
３,1
席,1
隣,1
ちょこちょこ,1
英語,1
そこそこ,1
バイ,1
弱,1
とげとげしく,1
ぎすぎす,1
高校,1
生,1
世話,1
ショート,1
ステイ,1
文化,1
なき,1
局長,1
級,1
胡,1
錦濤,1
主席,1
抜粋,1
靖国,1
マスコミ,1
報道,1
根本,1
ざあっ,1
偉い,1
おかしい,1
げらげら,1
無駄,1
調子,1
前向き,1
高野,1
払拭,1
個々,1
佐藤,1
打撃,1
寄与,1
総称,1
死活,1
やっぱり,1
がき,1
少々,1
一挙,1
完敗,1
上陸,1
マッカーサー,1
原爆,1
鴨緑,1
江,1
騒ぎ,1
有名,1
ファー,1
イースト,1
想像,1
かたく,1
向こう側,1
絶対,1
国論,1
選択,1
人民,1
共和,1
同行,1
生き物,1
民,1
国側,1
瑕疵,1
テーブル,1
差,1
甚だ,1
松木,1
そちら,1
方法,1
幸い,1
二人,1
痛い,1
いかが,1
説得,1
あそこ,1
手口,1
存続,1
議題,1
何とぞ,1
西銘,1
所在,1
特殊,1
ニーズ,1
減額,1
知事,1
住民,1
為替,1
レート,1
算定,1
比較,1
資料,1
試算,1
受入れ,1
強要,1
恐怖,1
殺傷,1
対等,1
国権,1
発動,1
ＱＤＲ,1
多発,1
形容,1
ハイジャック,1
人質,1
物,1
供与,1
典型,1
類型,1
取決め,1
後方,1
法令,1
公表,1
踏襲,1
生起,1
成功,1
選好,1
侵略,1
口実,1
記述,1
権利,1
米英,1
飢餓,1
施し,1
形式,1
相応,1
手当て,1
容易,1
部内,1
オブザーバー,1
ビジョン,1
構成,1
統制,1
専守,1
物的,1
適宜,1
時節,1
そっち,1
もともと,1
片務,1
ふり,1
おなか,1
正しかっ,1
オーソライズ,1
施行,1
大丈夫,1
当て,1
間断,1
メイ,1
ビー・ユーティライズド,1
シャル・ビー・ユーティライズド,1
どれ,1
歴代,1
比率,1
イーグルズ,1
前年,1
頭,1
ぬの,1
内示,1
額,1
三百,1
トータル,1
九百,1
以前,1
あっちこっち,1
体系,1
名前,1
傾聴,1
値,1
動乱,1
うはうは,1
敵機,1
来襲,1
灯火,1
管制,1
対空,1
砲,1
門司,1
小倉,1
珍しい,1
ミグ,1
蒋,1
介石,1
ぬくぬく,1
フロント,1
ライン,1
今ごろ,1
当選,1
たった,1
無量,1
面持ち,1
少なけれ,1
腹,1
腑,1
憂慮,1
で,1
浅尾,1
ちょうど,1
カナダ,1
あした,1
口車,1
言い分,1
うのみ,1
あんまり,1
分離,1
ずうっと,1
研究,1
やり取り,1
まんま,1
舛添,1
最善,1
掛け替え,1
尊重,1
尽力,1
地帯,1
順位,1
整合,1
きのう,1
おととい,1
両岸,1
がたい,1
一様,1
物すごい,1
勢い,1
遠隔,1
おまえ,1
どない,1
限定,1
適当,1
機敏,1
前例,1
撤退,1
あえて,1
事例,1
在,1
ことし,1
騒然,1
学生,1
真っ,1
命運,1
引換え,1
大きかっ,1
世の中,1
なるほど,1
良く,1
