person_id,party,topic,n_alltime,n_term_hor,chars_term_hor,searchword_segs,n_term_other_house
74,自由民主党,Defence,482,2,17966,28,0
74,自由民主党,NuclearPower,614,1,9413,3,0
74,自由民主党,FamilySeparate,5,0,0,0,0
74,自由民主党,LGBT,0,0,0,0,0
75,自由民主党,Defence,21,1,3989,9,0
75,自由民主党,NuclearPower,8,0,0,0,0
75,自由民主党,FamilySeparate,0,0,0,0,0
75,自由民主党,LGBT,0,0,0,0,0
76,自由民主党,Defence,29,11,15220,36,0
76,自由民主党,NuclearPower,3,0,0,0,0
76,自由民主党,FamilySeparate,28,0,0,0,0
76,自由民主党,LGBT,5,0,0,0,0
95,自由民主党,Defence,10,2,7964,3,0
95,自由民主党,NuclearPower,15,0,0,0,0
95,自由民主党,FamilySeparate,0,0,0,0,0
95,自由民主党,LGBT,0,0,0,0,0
110,無所属,Defence,3,0,0,0,0
110,無所属,NuclearPower,3,0,0,0,0
110,無所属,FamilySeparate,0,0,0,0,0
110,無所属,LGBT,0,0,0,0,0
150,自由民主党,Defence,7,0,0,0,0
150,自由民主党,NuclearPower,2,0,0,0,0
150,自由民主党,FamilySeparate,4,0,0,0,0
150,自由民主党,LGBT,0,0,0,0,0
152,自由民主党,Defence,2852,582,671777,1595,637
152,自由民主党,NuclearPower,298,98,208069,198,89
152,自由民主党,FamilySeparate,7,4,1436,4,2
152,自由民主党,LGBT,51,23,44430,34,25
167,立憲民主党,Defence,372,122,108479,376,0
167,立憲民主党,NuclearPower,14,0,0,0,0
167,立憲民主党,FamilySeparate,0,0,0,0,0
167,立憲民主党,LGBT,0,0,0,0,0
170,立憲民主党,Defence,141,75,40626,163,0
170,立憲民主党,NuclearPower,16,2,8932,2,0
170,立憲民主党,FamilySeparate,12,0,0,0,0
170,立憲民主党,LGBT,0,0,0,0,0
184,自由民主党,Defence,34,8,4456,23,0
184,自由民主党,NuclearPower,3,0,0,0,0
184,自由民主党,FamilySeparate,0,0,0,0,0
184,自由民主党,LGBT,0,0,0,0,0
186,無所属,Defence,297,8,6199,22,0
186,無所属,NuclearPower,525,0,0,0,0
186,無所属,FamilySeparate,0,0,0,0,0
186,無所属,LGBT,1,0,0,0,0
192,自由民主党,Defence,44,22,16021,63,0
192,自由民主党,NuclearPower,1,0,0,0,0
192,自由民主党,FamilySeparate,0,0,0,0,0
192,自由民主党,LGBT,0,0,0,0,0
205,自由民主党,Defence,4,3,2156,4,1
205,自由民主党,NuclearPower,3,0,0,0,0
205,自由民主党,FamilySeparate,3,0,0,0,3
205,自由民主党,LGBT,7,2,2500,2,5
221,立憲民主党,Defence,126,42,46676,106,0
221,立憲民主党,NuclearPower,173,6,7792,12,0
221,立憲民主党,FamilySeparate,0,0,0,0,0
221,立憲民主党,LGBT,0,0,0,0,0
225,自由民主党,Defence,94,1,1178,7,0
225,自由民主党,NuclearPower,53,0,0,0,0
225,自由民主党,FamilySeparate,2,0,0,0,0
225,自由民主党,LGBT,2,0,0,0,0
230,自由民主党,Defence,57,21,16785,44,0
230,自由民主党,NuclearPower,4,2,2704,6,0
230,自由民主党,FamilySeparate,0,0,0,0,0
230,自由民主党,LGBT,0,0,0,0,0
232,自由民主党,Defence,23,7,5427,15,7
232,自由民主党,NuclearPower,0,0,0,0,0
232,自由民主党,FamilySeparate,1,0,0,0,0
232,自由民主党,LGBT,0,0,0,0,0
240,立憲民主党,Defence,840,125,92973,331,0
240,立憲民主党,NuclearPower,31,1,1858,1,0
240,立憲民主党,FamilySeparate,0,0,0,0,0
240,立憲民主党,LGBT,0,0,0,0,0
248,立憲民主党,Defence,23,6,9203,10,0
248,立憲民主党,NuclearPower,21,0,0,0,0
248,立憲民主党,FamilySeparate,1,0,0,0,0
248,立憲民主党,LGBT,0,0,0,0,0
254,公明党,Defence,16,13,11176,17,0
254,公明党,NuclearPower,26,18,10625,35,0
254,公明党,FamilySeparate,4,0,0,0,0
254,公明党,LGBT,2,0,0,0,0
255,立憲民主党,Defence,30,8,6472,15,0
255,立憲民主党,NuclearPower,88,4,3262,15,0
255,立憲民主党,FamilySeparate,0,0,0,0,0
255,立憲民主党,LGBT,1,1,529,1,0
256,立憲民主党,Defence,146,52,128252,227,1
256,立憲民主党,NuclearPower,19,4,21599,13,0
256,立憲民主党,FamilySeparate,4,2,11014,3,2
256,立憲民主党,LGBT,6,6,20355,12,0
261,公明党,Defence,15,10,3216,12,0
261,公明党,NuclearPower,7,2,958,4,0
261,公明党,FamilySeparate,0,0,0,0,0
261,公明党,LGBT,0,0,0,0,0
268,国民民主党,Defence,181,46,107866,206,0
268,国民民主党,NuclearPower,41,9,41092,32,0
268,国民民主党,FamilySeparate,2,0,0,0,0
268,国民民主党,LGBT,0,0,0,0,0
273,自由民主党,Defence,26,0,0,0,0
273,自由民主党,NuclearPower,15,0,0,0,0
273,自由民主党,FamilySeparate,0,0,0,0,0
273,自由民主党,LGBT,0,0,0,0,0
285,日本維新の会,Defence,87,4,5266,11,0
285,日本維新の会,NuclearPower,0,0,0,0,0
285,日本維新の会,FamilySeparate,0,0,0,0,0
285,日本維新の会,LGBT,0,0,0,0,0
291,自由民主党,Defence,54,1,411,3,1
291,自由民主党,NuclearPower,31,2,566,2,0
291,自由民主党,FamilySeparate,44,0,0,0,0
291,自由民主党,LGBT,1,0,0,0,0
311,自由民主党,Defence,92,20,17163,28,18
311,自由民主党,NuclearPower,38,7,10838,11,13
311,自由民主党,FamilySeparate,0,0,0,0,0
311,自由民主党,LGBT,0,0,0,0,0
321,公明党,Defence,72,1,823,1,0
321,公明党,NuclearPower,29,0,0,0,0
321,公明党,FamilySeparate,6,0,0,0,0
321,公明党,LGBT,0,0,0,0,0
333,自由民主党,Defence,13,3,2541,4,0
333,自由民主党,NuclearPower,40,0,0,0,0
333,自由民主党,FamilySeparate,0,0,0,0,0
333,自由民主党,LGBT,0,0,0,0,0
335,れいわ新選組,Defence,43,32,33147,74,0
335,れいわ新選組,NuclearPower,4,3,2438,12,0
335,れいわ新選組,FamilySeparate,1,1,509,1,0
335,れいわ新選組,LGBT,4,4,4312,8,0
350,自由民主党,Defence,184,8,15902,23,0
350,自由民主党,NuclearPower,22,0,0,0,0
350,自由民主党,FamilySeparate,0,0,0,0,0
350,自由民主党,LGBT,0,0,0,0,0
358,立憲民主党,Defence,230,15,33578,67,0
358,立憲民主党,NuclearPower,41,0,0,0,0
358,立憲民主党,FamilySeparate,0,0,0,0,0
358,立憲民主党,LGBT,2,2,4954,3,0
361,日本維新の会,Defence,57,57,32916,138,0
361,日本維新の会,NuclearPower,10,10,4465,20,0
361,日本維新の会,FamilySeparate,0,0,0,0,0
361,日本維新の会,LGBT,0,0,0,0,0
366,自由民主党,Defence,32,8,7850,10,2
366,自由民主党,NuclearPower,41,12,9151,28,10
366,自由民主党,FamilySeparate,0,0,0,0,0
366,自由民主党,LGBT,0,0,0,0,0
369,自由民主党,Defence,10,10,5874,11,0
369,自由民主党,NuclearPower,2,2,824,2,0
369,自由民主党,FamilySeparate,0,0,0,0,0
369,自由民主党,LGBT,0,0,0,0,0
379,立憲民主党,Defence,141,12,25564,21,0
379,立憲民主党,NuclearPower,21,5,20193,6,0
379,立憲民主党,FamilySeparate,2,1,11327,1,0
379,立憲民主党,LGBT,1,1,11327,2,0
386,公明党,Defence,4,4,2961,5,0
386,公明党,NuclearPower,0,0,0,0,0
386,公明党,FamilySeparate,0,0,0,0,0
386,公明党,LGBT,1,1,559,2,0
394,自由民主党,Defence,45,4,2929,11,12
394,自由民主党,NuclearPower,6,1,1363,3,0
394,自由民主党,FamilySeparate,0,0,0,0,0
394,自由民主党,LGBT,0,0,0,0,0
397,自由民主党,Defence,20,13,7948,16,0
397,自由民主党,NuclearPower,2,2,1520,2,0
397,自由民主党,FamilySeparate,0,0,0,0,0
397,自由民主党,LGBT,0,0,0,0,0
410,日本維新の会,Defence,34,34,36448,68,0
410,日本維新の会,NuclearPower,0,0,0,0,0
410,日本維新の会,FamilySeparate,0,0,0,0,0
410,日本維新の会,LGBT,0,0,0,0,0
422,自由民主党,Defence,23,10,4137,14,7
422,自由民主党,NuclearPower,67,20,11509,39,4
422,自由民主党,FamilySeparate,0,0,0,0,0
422,自由民主党,LGBT,0,0,0,0,0
430,日本維新の会,Defence,20,1,4786,12,0
430,日本維新の会,NuclearPower,3,0,0,0,0
430,日本維新の会,FamilySeparate,0,0,0,0,0
430,日本維新の会,LGBT,0,0,0,0,0
433,国民民主党,Defence,200,189,147652,495,0
433,国民民主党,NuclearPower,2,2,2087,2,0
433,国民民主党,FamilySeparate,0,0,0,0,0
433,国民民主党,LGBT,3,3,2116,4,0
447,日本維新の会,Defence,7,7,2986,13,0
447,日本維新の会,NuclearPower,2,2,1352,7,0
447,日本維新の会,FamilySeparate,0,0,0,0,0
447,日本維新の会,LGBT,0,0,0,0,0
452,自由民主党,Defence,80,10,3665,15,4
452,自由民主党,NuclearPower,9,1,204,1,0
452,自由民主党,FamilySeparate,0,0,0,0,0
452,自由民主党,LGBT,0,0,0,0,0
460,自由民主党,Defence,3,1,842,2,0
460,自由民主党,NuclearPower,2,0,0,0,0
460,自由民主党,FamilySeparate,0,0,0,0,0
460,自由民主党,LGBT,0,0,0,0,0
473,立憲民主党,Defence,49,15,13216,21,0
473,立憲民主党,NuclearPower,151,8,9652,16,0
473,立憲民主党,FamilySeparate,0,0,0,0,0
473,立憲民主党,LGBT,0,0,0,0,0
475,自由民主党,Defence,32,5,4821,12,0
475,自由民主党,NuclearPower,42,2,1945,2,0
475,自由民主党,FamilySeparate,1,1,2169,1,0
475,自由民主党,LGBT,1,1,2169,1,0
479,日本維新の会,Defence,10,10,5757,25,0
479,日本維新の会,NuclearPower,9,9,8856,21,0
479,日本維新の会,FamilySeparate,0,0,0,0,0
479,日本維新の会,LGBT,0,0,0,0,0
484,自由民主党,Defence,51,0,0,0,0
484,自由民主党,NuclearPower,15,0,0,0,0
484,自由民主党,FamilySeparate,1,0,0,0,0
484,自由民主党,LGBT,0,0,0,0,0
492,自由民主党,Defence,4,1,317,2,0
492,自由民主党,NuclearPower,2,0,0,0,2
492,自由民主党,FamilySeparate,0,0,0,0,0
492,自由民主党,LGBT,0,0,0,0,0
498,日本維新の会,Defence,7,2,829,2,0
498,日本維新の会,NuclearPower,1,1,73,1,0
498,日本維新の会,FamilySeparate,1,0,0,0,0
498,日本維新の会,LGBT,0,0,0,0,0
499,立憲民主党,Defence,49,11,11798,21,0
499,立憲民主党,NuclearPower,13,1,84,1,0
499,立憲民主党,FamilySeparate,3,3,2973,3,0
499,立憲民主党,LGBT,12,12,8437,16,0
501,自由民主党,Defence,18,9,10306,21,0
501,自由民主党,NuclearPower,8,4,3099,4,1
501,自由民主党,FamilySeparate,1,1,437,2,0
501,自由民主党,LGBT,0,0,0,0,0
509,日本維新の会,Defence,93,68,65422,255,0
509,日本維新の会,NuclearPower,9,1,384,1,0
509,日本維新の会,FamilySeparate,0,0,0,0,0
509,日本維新の会,LGBT,1,1,684,1,0
516,日本維新の会,Defence,4,4,2560,4,0
516,日本維新の会,NuclearPower,9,9,5790,25,0
516,日本維新の会,FamilySeparate,0,0,0,0,0
516,日本維新の会,LGBT,0,0,0,0,0
519,国民民主党,Defence,118,118,78600,256,0
519,国民民主党,NuclearPower,15,15,13180,23,0
519,国民民主党,FamilySeparate,0,0,0,0,0
519,国民民主党,LGBT,0,0,0,0,0
526,自由民主党,Defence,54,27,11720,47,2
526,自由民主党,NuclearPower,9,2,2044,7,0
526,自由民主党,FamilySeparate,0,0,0,0,0
526,自由民主党,LGBT,0,0,0,0,0
531,自由民主党,Defence,36,19,23108,38,10
531,自由民主党,NuclearPower,7,2,11760,2,3
531,自由民主党,FamilySeparate,1,1,95,1,0
531,自由民主党,LGBT,5,2,362,2,3
533,自由民主党,Defence,6,1,278,1,0
533,自由民主党,NuclearPower,1,0,0,0,0
533,自由民主党,FamilySeparate,0,0,0,0,0
533,自由民主党,LGBT,0,0,0,0,0
540,無所属,Defence,242,90,41943,156,0
540,無所属,NuclearPower,11,3,669,5,0
540,無所属,FamilySeparate,2,1,100,1,0
540,無所属,LGBT,0,0,0,0,0
559,日本維新の会,Defence,19,18,13273,21,0
559,日本維新の会,NuclearPower,0,0,0,0,0
559,日本維新の会,FamilySeparate,1,1,478,1,0
559,日本維新の会,LGBT,0,0,0,0,0
561,自由民主党,Defence,21,2,812,2,1
561,自由民主党,NuclearPower,43,9,5916,12,15
561,自由民主党,FamilySeparate,0,0,0,0,0
561,自由民主党,LGBT,0,0,0,0,0
576,自由民主党,Defence,29,0,0,0,0
576,自由民主党,NuclearPower,0,0,0,0,0
576,自由民主党,FamilySeparate,0,0,0,0,0
576,自由民主党,LGBT,0,0,0,0,0
578,日本維新の会,Defence,9,9,11915,29,0
578,日本維新の会,NuclearPower,1,1,5150,7,0
578,日本維新の会,FamilySeparate,3,0,0,0,0
578,日本維新の会,LGBT,0,0,0,0,0
581,自由民主党,Defence,31,14,10392,34,2
581,自由民主党,NuclearPower,4,1,436,1,0
581,自由民主党,FamilySeparate,3,0,0,0,0
581,自由民主党,LGBT,0,0,0,0,0
589,立憲民主党,Defence,221,13,28054,22,0
589,立憲民主党,NuclearPower,193,27,46160,87,0
589,立憲民主党,FamilySeparate,0,0,0,0,0
589,立憲民主党,LGBT,0,0,0,0,0
591,立憲民主党,Defence,81,11,5975,17,0
591,立憲民主党,NuclearPower,144,0,0,0,0
591,立憲民主党,FamilySeparate,1,0,0,0,0
591,立憲民主党,LGBT,0,0,0,0,0
592,自由民主党,Defence,17,5,6816,6,0
592,自由民主党,NuclearPower,23,0,0,0,0
592,自由民主党,FamilySeparate,0,0,0,0,0
592,自由民主党,LGBT,0,0,0,0,0
593,自由民主党,Defence,18,0,0,0,0
593,自由民主党,NuclearPower,1,0,0,0,0
593,自由民主党,FamilySeparate,0,0,0,0,0
593,自由民主党,LGBT,0,0,0,0,0
599,自由民主党,Defence,34,0,0,0,0
599,自由民主党,NuclearPower,76,0,0,0,0
599,自由民主党,FamilySeparate,0,0,0,0,0
599,自由民主党,LGBT,0,0,0,0,0
610,自由民主党,Defence,1996,31,30913,107,0
610,自由民主党,NuclearPower,81,0,0,0,0
610,自由民主党,FamilySeparate,1,0,0,0,0
610,自由民主党,LGBT,0,0,0,0,0
614,立憲民主党,Defence,20,18,15442,29,0
614,立憲民主党,NuclearPower,3,1,852,2,0
614,立憲民主党,FamilySeparate,0,0,0,0,0
614,立憲民主党,LGBT,0,0,0,0,0
640,自由民主党,Defence,11,7,6082,36,0
640,自由民主党,NuclearPower,2,0,0,0,0
640,自由民主党,FamilySeparate,0,0,0,0,0
640,自由民主党,LGBT,0,0,0,0,0
648,自由民主党,Defence,40,0,0,0,0
648,自由民主党,NuclearPower,20,1,833,6,0
648,自由民主党,FamilySeparate,0,0,0,0,0
648,自由民主党,LGBT,0,0,0,0,0
650,自由民主党,Defence,972,5,11889,33,0
650,自由民主党,NuclearPower,52,6,10559,14,0
650,自由民主党,FamilySeparate,40,1,8030,1,0
650,自由民主党,LGBT,7,0,0,0,0
659,自由民主党,Defence,26,18,11723,57,0
659,自由民主党,NuclearPower,7,1,418,2,0
659,自由民主党,FamilySeparate,0,0,0,0,0
659,自由民主党,LGBT,0,0,0,0,0
660,自由民主党,Defence,19,15,4597,16,4
660,自由民主党,NuclearPower,8,3,1998,6,0
660,自由民主党,FamilySeparate,0,0,0,0,0
660,自由民主党,LGBT,0,0,0,0,0
664,立憲民主党,Defence,49,5,5490,9,0
664,立憲民主党,NuclearPower,12,0,0,0,0
664,立憲民主党,FamilySeparate,0,0,0,0,0
664,立憲民主党,LGBT,0,0,0,0,0
666,自由民主党,Defence,357,165,111863,308,138
666,自由民主党,NuclearPower,15,5,3666,7,0
666,自由民主党,FamilySeparate,0,0,0,0,0
666,自由民主党,LGBT,0,0,0,0,0
681,立憲民主党,Defence,44,10,11197,26,0
681,立憲民主党,NuclearPower,12,1,162,1,0
681,立憲民主党,FamilySeparate,0,0,0,0,0
681,立憲民主党,LGBT,0,0,0,0,0
684,自由民主党,Defence,16,14,12676,30,1
684,自由民主党,NuclearPower,31,7,5287,9,0
684,自由民主党,FamilySeparate,0,0,0,0,0
684,自由民主党,LGBT,0,0,0,0,0
688,自由民主党,Defence,10,1,386,1,0
688,自由民主党,NuclearPower,0,0,0,0,0
688,自由民主党,FamilySeparate,0,0,0,0,0
688,自由民主党,LGBT,0,0,0,0,0
689,日本維新の会,Defence,115,115,86031,281,0
689,日本維新の会,NuclearPower,8,8,7449,12,0
689,日本維新の会,FamilySeparate,0,0,0,0,0
689,日本維新の会,LGBT,0,0,0,0,0
695,自由民主党,Defence,21,13,6268,20,0
695,自由民主党,NuclearPower,1,0,0,0,0
695,自由民主党,FamilySeparate,0,0,0,0,0
695,自由民主党,LGBT,0,0,0,0,0
702,自由民主党,Defence,3,2,1449,2,0
702,自由民主党,NuclearPower,0,0,0,0,0
702,自由民主党,FamilySeparate,1,0,0,0,0
702,自由民主党,LGBT,0,0,0,0,0
708,自由民主党,Defence,2987,0,0,0,0
708,自由民主党,NuclearPower,522,0,0,0,0
708,自由民主党,FamilySeparate,6,0,0,0,0
708,自由民主党,LGBT,8,0,0,0,0
709,立憲民主党,Defence,69,16,29985,33,0
709,立憲民主党,NuclearPower,4,1,739,1,0
709,立憲民主党,FamilySeparate,1,0,0,0,0
709,立憲民主党,LGBT,0,0,0,0,0
711,日本維新の会,Defence,101,67,40071,212,0
711,日本維新の会,NuclearPower,4,1,558,1,0
711,日本維新の会,FamilySeparate,0,0,0,0,0
711,日本維新の会,LGBT,0,0,0,0,0
744,自由民主党,Defence,5,5,4529,5,0
744,自由民主党,NuclearPower,6,6,3317,14,0
744,自由民主党,FamilySeparate,0,0,0,0,0
744,自由民主党,LGBT,0,0,0,0,0
756,公明党,Defence,9,6,5886,7,0
756,公明党,NuclearPower,17,0,0,0,0
756,公明党,FamilySeparate,0,0,0,0,0
756,公明党,LGBT,0,0,0,0,0
761,公明党,Defence,60,18,17290,31,0
761,公明党,NuclearPower,89,19,15180,45,0
761,公明党,FamilySeparate,0,0,0,0,0
761,公明党,LGBT,0,0,0,0,0
767,日本維新の会,Defence,21,16,9221,18,0
767,日本維新の会,NuclearPower,4,4,3854,6,0
767,日本維新の会,FamilySeparate,0,0,0,0,0
767,日本維新の会,LGBT,0,0,0,0,0
771,自由民主党,Defence,7,6,3032,12,1
771,自由民主党,NuclearPower,0,0,0,0,0
771,自由民主党,FamilySeparate,0,0,0,0,0
771,自由民主党,LGBT,0,0,0,0,0
773,自由民主党,Defence,775,16,16581,62,0
773,自由民主党,NuclearPower,13,2,796,2,0
773,自由民主党,FamilySeparate,0,0,0,0,0
773,自由民主党,LGBT,0,0,0,0,0
776,公明党,Defence,47,7,2777,7,0
776,公明党,NuclearPower,21,8,4205,8,0
776,公明党,FamilySeparate,0,0,0,0,0
776,公明党,LGBT,0,0,0,0,0
780,自由民主党,Defence,8,5,2875,5,2
780,自由民主党,NuclearPower,2,2,1053,2,0
780,自由民主党,FamilySeparate,0,0,0,0,0
780,自由民主党,LGBT,0,0,0,0,0
790,立憲民主党,Defence,209,13,12275,23,0
790,立憲民主党,NuclearPower,116,20,17150,48,0
790,立憲民主党,FamilySeparate,0,0,0,0,0
790,立憲民主党,LGBT,0,0,0,0,0
793,立憲民主党,Defence,13,12,14200,25,0
793,立憲民主党,NuclearPower,3,2,4042,2,0
793,立憲民主党,FamilySeparate,0,0,0,0,0
793,立憲民主党,LGBT,0,0,0,0,0
800,立憲民主党,Defence,36,0,0,0,0
800,立憲民主党,NuclearPower,31,1,369,5,0
800,立憲民主党,FamilySeparate,1,0,0,0,0
800,立憲民主党,LGBT,0,0,0,0,0
806,自由民主党,Defence,7,4,1417,6,0
806,自由民主党,NuclearPower,10,0,0,0,0
806,自由民主党,FamilySeparate,0,0,0,0,0
806,自由民主党,LGBT,0,0,0,0,0
808,立憲民主党,Defence,371,38,34544,81,0
808,立憲民主党,NuclearPower,365,0,0,0,0
808,立憲民主党,FamilySeparate,2,0,0,0,0
808,立憲民主党,LGBT,0,0,0,0,0
813,日本維新の会,Defence,17,12,16693,48,0
813,日本維新の会,NuclearPower,3,1,4127,3,0
813,日本維新の会,FamilySeparate,39,0,0,0,0
813,日本維新の会,LGBT,0,0,0,0,0
821,社会民主党,Defence,200,168,98597,461,0
821,社会民主党,NuclearPower,1,1,696,2,0
821,社会民主党,FamilySeparate,0,0,0,0,0
821,社会民主党,LGBT,0,0,0,0,0
824,立憲民主党,Defence,15,7,13581,32,0
824,立憲民主党,NuclearPower,0,0,0,0,0
824,立憲民主党,FamilySeparate,1,1,9685,3,0
824,立憲民主党,LGBT,1,1,9685,3,0
832,自由民主党,Defence,40,17,9785,34,1
832,自由民主党,NuclearPower,0,0,0,0,0
832,自由民主党,FamilySeparate,0,0,0,0,0
832,自由民主党,LGBT,0,0,0,0,0
839,日本維新の会,Defence,65,63,49023,194,0
839,日本維新の会,NuclearPower,1,1,964,1,0
839,日本維新の会,FamilySeparate,1,1,602,1,0
839,日本維新の会,LGBT,0,0,0,0,0
844,自由民主党,Defence,3024,16,65036,137,3
844,自由民主党,NuclearPower,91,3,19796,8,1
844,自由民主党,FamilySeparate,7,0,0,0,0
844,自由民主党,LGBT,5,0,0,0,0
859,日本維新の会,Defence,44,0,0,0,0
859,日本維新の会,NuclearPower,3,1,526,1,0
859,日本維新の会,FamilySeparate,0,0,0,0,0
859,日本維新の会,LGBT,0,0,0,0,0
863,自由民主党,Defence,48,33,15354,88,13
863,自由民主党,NuclearPower,8,7,4860,15,0
863,自由民主党,FamilySeparate,0,0,0,0,0
863,自由民主党,LGBT,0,0,0,0,0
866,自由民主党,Defence,25,13,5421,15,0
866,自由民主党,NuclearPower,13,3,2505,3,0
866,自由民主党,FamilySeparate,0,0,0,0,0
866,自由民主党,LGBT,0,0,0,0,0
876,立憲民主党,Defence,25,4,5351,13,0
876,立憲民主党,NuclearPower,29,1,1093,1,0
876,立憲民主党,FamilySeparate,1,1,112,1,0
876,立憲民主党,LGBT,0,0,0,0,0
878,自由民主党,Defence,5,3,1506,4,0
878,自由民主党,NuclearPower,7,1,860,5,0
878,自由民主党,FamilySeparate,0,0,0,0,0
878,自由民主党,LGBT,0,0,0,0,0
884,自由民主党,Defence,6,1,325,1,0
884,自由民主党,NuclearPower,0,0,0,0,0
884,自由民主党,FamilySeparate,0,0,0,0,0
884,自由民主党,LGBT,0,0,0,0,0
887,自由民主党,Defence,12,0,0,0,0
887,自由民主党,NuclearPower,2,0,0,0,0
887,自由民主党,FamilySeparate,1,0,0,0,0
887,自由民主党,LGBT,0,0,0,0,0
901,公明党,Defence,144,23,25614,108,0
901,公明党,NuclearPower,6,3,1139,8,0
901,公明党,FamilySeparate,4,0,0,0,0
901,公明党,LGBT,0,0,0,0,0
906,立憲民主党,Defence,17,17,12048,37,0
906,立憲民主党,NuclearPower,9,9,4295,27,0
906,立憲民主党,FamilySeparate,1,1,1552,1,0
906,立憲民主党,LGBT,1,1,2529,1,0
911,自由民主党,Defence,439,39,37281,61,22
911,自由民主党,NuclearPower,107,0,0,0,0
911,自由民主党,FamilySeparate,0,0,0,0,0
911,自由民主党,LGBT,1,0,0,0,1
917,自由民主党,Defence,31,0,0,0,0
917,自由民主党,NuclearPower,6,0,0,0,0
917,自由民主党,FamilySeparate,0,0,0,0,0
917,自由民主党,LGBT,0,0,0,0,0
925,立憲民主党,Defence,27,20,10411,31,0
925,立憲民主党,NuclearPower,11,11,4212,21,0
925,立憲民主党,FamilySeparate,0,0,0,0,0
925,立憲民主党,LGBT,0,0,0,0,0
937,立憲民主党,Defence,80,13,10225,33,0
937,立憲民主党,NuclearPower,371,76,22937,139,0
937,立憲民主党,FamilySeparate,3,0,0,0,0
937,立憲民主党,LGBT,2,0,0,0,0
942,自由民主党,Defence,1509,406,151385,978,308
942,自由民主党,NuclearPower,9,1,529,2,1
942,自由民主党,FamilySeparate,0,0,0,0,0
942,自由民主党,LGBT,0,0,0,0,0
948,公明党,Defence,61,47,43785,109,2
948,公明党,NuclearPower,11,4,4668,7,2
948,公明党,FamilySeparate,0,0,0,0,0
948,公明党,LGBT,0,0,0,0,0
950,自由民主党,Defence,9,9,7446,16,0
950,自由民主党,NuclearPower,0,0,0,0,0
950,自由民主党,FamilySeparate,0,0,0,0,0
950,自由民主党,LGBT,0,0,0,0,0
969,自由民主党,Defence,72,5,3946,6,0
969,自由民主党,NuclearPower,2,0,0,0,0
969,自由民主党,FamilySeparate,15,0,0,0,0
969,自由民主党,LGBT,9,0,0,0,0
989,立憲民主党,Defence,39,16,21152,32,0
989,立憲民主党,NuclearPower,7,1,433,1,0
989,立憲民主党,FamilySeparate,0,0,0,0,0
989,立憲民主党,LGBT,0,0,0,0,0
993,自由民主党,Defence,128,6,2342,10,0
993,自由民主党,NuclearPower,5,0,0,0,0
993,自由民主党,FamilySeparate,0,0,0,0,0
993,自由民主党,LGBT,0,0,0,0,0
999,自由民主党,Defence,38,21,8431,25,4
999,自由民主党,NuclearPower,27,7,2540,10,0
999,自由民主党,FamilySeparate,0,0,0,0,0
999,自由民主党,LGBT,1,1,312,1,0
1012,自由民主党,Defence,16,2,686,2,0
1012,自由民主党,NuclearPower,1,0,0,0,0
1012,自由民主党,FamilySeparate,0,0,0,0,0
1012,自由民主党,LGBT,0,0,0,0,0
1023,立憲民主党,Defence,389,22,16674,26,0
1023,立憲民主党,NuclearPower,305,43,30079,63,0
1023,立憲民主党,FamilySeparate,0,0,0,0,0
