person_id,name_kanji,party,district
800,菊田真紀子,立憲民主党,新潟4区
806,村井英樹,自由民主党,埼玉1区
808,野田佳彦,立憲民主党,千葉4区
813,藤田文武,日本維新の会,大阪12区
821,新垣邦男,社会民主党,沖縄2区
824,大築紅葉,立憲民主党,比例北海道ブロック
832,藤井比早之,自由民主党,兵庫4区
839,岩谷良平,日本維新の会,大阪13区
844,石破茂,自由民主党,鳥取1区
859,遠藤敬,日本維新の会,大阪18区
863,木村次郎,自由民主党,青森3区
866,堀内詔子,自由民主党,山梨2区
876,牧義夫,立憲民主党,東海ブロック
878,長坂康正,自由民主党,愛知9区
884,宮内秀樹,自由民主党,福岡4区
887,江崎鉄磨,自由民主党,愛知10区
901,浜地雅一,公明党,九州ブロック
906,堤かなめ,立憲民主党,福岡5区
911,松本剛明,自由民主党,兵庫11区
917,石田真敏,自由民主党,和歌山2区
925,神津健,立憲民主党,比例北陸信越ブロック
937,逢坂誠二,立憲民主党,北海道8区
942,浜田靖一,自由民主党,千葉12区
948,吉田宣弘,公明党,九州ブロック
950,山口晋,自由民主党,埼玉10区
969,鈴木馨祐,自由民主党,神奈川7区
989,近藤和也,立憲民主党,北陸信越ブロック
993,山本朋広,自由民主党,比例南関東ブロック
999,星野剛士,自由民主党,南関東ブロック
1012,鈴木隼人,自由民主党,東京10区
1023,阿部知子,立憲民主党,神奈川12区
1025,亀岡偉民,自由民主党,東北ブロック
1034,小里泰弘,自由民主党,九州ブロック
1040,角田秀穂,公明党,南関東ブロック
1050,黄川田仁志,自由民主党,埼玉3区
1064,工藤彰三,自由民主党,愛知4区
1070,鬼木誠,自由民主党,福岡2区
1083,山崎正恭,公明党,四国ブロック
1084,竹内譲,公明党,近畿ブロック
1095,杉田水脈,自由民主党,中国ブロック
1096,山田勝彦,立憲民主党,九州ブロック
1098,北村誠吾,自由民主党,長崎4区
1100,高鳥修一,自由民主党,北陸信越ブロック
1112,柿沢未途,無所属,東京15区
1113,川崎秀人,自由民主党,三重2区
1124,笹川博義,自由民主党,群馬3区
1126,岡本章子,立憲民主党,比例東北ブロック
1128,伊藤俊輔,立憲民主党,東京ブロック
1135,中村裕之,自由民主党,北海道4区
1138,平沼正二郎,無所属,岡山3区
1140,船田元,自由民主党,栃木1区
1145,根本幸典,自由民主党,愛知15区
1165,逢沢一郎,自由民主党,岡山1区
1170,佐藤茂樹,公明党,大阪3区
1178,斉藤鉄夫,公明党,広島3区
1188,山口壮,自由民主党,兵庫12区
1204,鈴木貴子,自由民主党,北海道ブロック
1206,木原稔,自由民主党,熊本1区
1211,中川郁子,自由民主党,北海道ブロック
1214,西村智奈美,立憲民主党,新潟1区
1215,三谷英弘,自由民主党,南関東ブロック
1229,吉田晴美,立憲民主党,東京8区
1231,高木毅,自由民主党,福井2区
1234,中谷一馬,立憲民主党,南関東ブロック
1269,山口俊一,自由民主党,徳島2区
1276,渡海紀三朗,自由民主党,兵庫10区
1277,山本剛正,日本維新の会,九州ブロック
1279,高市早苗,自由民主党,奈良2区
1304,土井亨,自由民主党,宮城1区
1313,岡田克也,立憲民主党,三重3区
1314,中村喜四郎,立憲民主党,北関東ブロック
1343,古川元久,国民民主党,愛知2区
1345,野田聖子,自由民主党,岐阜1区
1346,鳩山二郎,自由民主党,福岡6区
1348,伊藤忠彦,自由民主党,愛知8区
1351,中根一幸,自由民主党,北関東ブロック
1356,古川康,自由民主党,九州ブロック
1357,高橋祐介,自由民主党,比例北海道ブロック
1363,高木啓,自由民主党,東京ブロック
1373,西銘恒三郎,自由民主党,沖縄4区
1382,寺田稔,自由民主党,広島5区
1387,石井啓一,公明党,北関東ブロック
1389,青山大人,立憲民主党,北関東ブロック
1393,森山浩行,立憲民主党,近畿ブロック
1404,奥野信亮,自由民主党,近畿ブロック
1413,白石洋一,立憲民主党,四国ブロック
1417,山際大志郎,自由民主党,神奈川18区
1430,国場幸之助,自由民主党,比例九州ブロック
1433,永岡桂子,自由民主党,茨城7区
1434,笠浩史,立憲民主党,神奈川9区
1450,海江田万里,立憲民主党,東京ブロック
1470,金子俊平,自由民主党,岐阜4区
1483,河野太郎,自由民主党,神奈川15区
1485,坂本哲志,自由民主党,熊本3区
1487,平沢勝栄,自由民主党,東京17区
1496,青柳仁士,日本維新の会,大阪14区
1501,古屋圭司,自由民主党,岐阜5区
1505,小泉進次郎,自由民主党,神奈川11区
1516,尾崎正直,自由民主党,高知2区
1522,門山宏哲,自由民主党,南関東ブロック
1524,小宮山泰子,立憲民主党,北関東ブロック
1538,小倉将信,自由民主党,東京23区
1543,手塚仁雄,立憲民主党,東京5区
1549,岸本周平,国民民主党,和歌山1区
1553,末次精一,立憲民主党,九州ブロック
1558,鎌田さゆり,立憲民主党,宮城2区
1566,小沢一郎,立憲民主党,東北ブロック
1569,末松義規,立憲民主党,東京19区
1572,五十嵐清,自由民主党,北関東ブロック
1585,斎藤洋明,自由民主党,新潟3区
1587,市村浩一郎,日本維新の会,兵庫6区
1593,鈴木淳司,自由民主党,愛知7区
1605,渡辺創,立憲民主党,宮崎1区
1614,小田原潔,自由民主党,東京21区
1619,小山展弘,立憲民主党,静岡3区
1630,馬場雄基,立憲民主党,東北ブロック
1640,小島敏文,自由民主党,中国ブロック
1641,熊田裕通,自由民主党,愛知1区
1645,赤沢亮正,自由民主党,鳥取2区
1651,野間健,立憲民主党,鹿児島3区
1655,後藤祐一,立憲民主党,神奈川16区
1672,中谷元,自由民主党,高知1区
1701,石原正敬,自由民主党,三重3区
1706,秋葉賢也,自由民主党,東北ブロック
1711,足立康史,日本維新の会,大阪9区
1716,一谷勇一郎,日本維新の会,近畿ブロック
1735,本田太郎,自由民主党,京都5区
1745,金子恵美（えみ）,立憲民主党,福島1区
1746,高橋千鶴子,日本共産党,東北ブロック
1753,国光文乃,自由民主党,茨城6区
1761,吉川赳,自由民主党,東海ブロック
1762,額賀福志郎,自由民主党,茨城2区
1765,奥野総一郎,立憲民主党,千葉9区
1767,穂坂泰,自由民主党,埼玉4区
1768,秋本真利,自由民主党,南関東ブロック
1770,葉梨康弘,自由民主党,茨城3区
1778,長谷川淳二,自由民主党,愛媛4区
1782,空本誠喜,日本維新の会,中国ブロック
1800,伊東信久,日本維新の会,大阪19区
1815,阿部弘樹,日本維新の会,九州ブロック
1816,小森卓郎,自由民主党,石川1区
1819,梶山弘志,自由民主党,茨城4区
1820,坂井学,自由民主党,神奈川5区
1822,杉本和巳,日本維新の会,比例東海ブロック
1823,大西英男,自由民主党,東京16区
1826,橋本岳,自由民主党,岡山4区
1827,堀場幸子,日本維新の会,近畿ブロック
1858,河西宏一,公明党,東京ブロック
1868,池下卓,日本維新の会,大阪10区
1874,岩屋毅,自由民主党,大分3区
1887,上田英俊,自由民主党,富山2区
1901,太栄志,立憲民主党,神奈川13区
1902,新藤義孝,自由民主党,埼玉2区
1903,棚橋泰文,自由民主党,岐阜2区
1904,井上信治,自由民主党,東京25区
1905,山田賢司,自由民主党,兵庫7区
1910,城井崇,立憲民主党,福岡10区
1913,保岡宏武,自由民主党,九州ブロック
1914,山崎誠,立憲民主党,南関東ブロック
1921,米山隆一,無所属,新潟5区
1925,平井卓也,自由民主党,比例四国ブロック
1930,柳本顕,自由民主党,近畿ブロック
1934,鷲尾英一郎,自由民主党,北陸信越ブロック
1938,宮路拓馬,自由民主党,鹿児島1区
1945,高村正大,自由民主党,山口1区
1958,金子恭之,自由民主党,熊本4区
1964,尾身朝子,自由民主党,北関東ブロック
1968,和田有一朗,日本維新の会,近畿ブロック
1972,橘慶一郎,自由民主党,富山3区
1977,鈴木俊一,自由民主党,岩手2区
1982,金城泰邦,公明党,九州ブロック
1994,田嶋要,立憲民主党,千葉1区
2007,谷田川元,立憲民主党,南関東ブロック
2010,伊佐進一,公明党,大阪6区
2013,田畑裕明,自由民主党,富山1区
2041,赤羽一嘉,公明党,兵庫2区
2042,鈴木庸介,立憲民主党,東京ブロック
2052,宮崎政久,自由民主党,九州ブロック
2053,赤嶺政賢,日本共産党,沖縄1区
2056,石川昭政,自由民主党,北関東ブロック
2062,上野賢一郎,自由民主党,滋賀2区
2069,長友慎治,国民民主党,九州ブロック
2083,西野太亮,無所属,熊本2区
2084,今枝宗一郎,自由民主党,愛知14区
2091,高木宏寿,自由民主党,北海道3区
2093,麻生太郎,自由民主党,福岡8区
2103,渡辺孝一,自由民主党,北海道ブロック
2111,浜村進,公明党,比例近畿ブロック
2117,岬麻紀,日本維新の会,東海ブロック
2118,志位和夫,日本共産党,南関東ブロック
2120,小野泰輔,日本維新の会,東京ブロック
2129,石橋林太郎,自由民主党,中国ブロック
2131,長妻昭,立憲民主党,東京7区
2143,藤巻健太,日本維新の会,南関東ブロック
2171,北神圭朗,無所属,京都4区
2172,田中健,国民民主党,東海ブロック
2177,西村康稔,自由民主党,兵庫9区
2181,小林史明,自由民主党,広島7区
2186,浅川義治,日本維新の会,南関東ブロック
2189,武田良太,自由民主党,福岡11区
2191,青柳陽一郎,立憲民主党,南関東ブロック
2192,塩崎彰久,自由民主党,愛媛1区
2229,桜田義孝,自由民主党,比例南関東ブロック
2239,加藤勝信,自由民主党,岡山5区
2249,三ツ林裕巳,自由民主党,埼玉14区
2264,福島伸享,無所属,茨城1区
2268,中曽根康隆,自由民主党,群馬1区
2289,枝野幸男,立憲民主党,埼玉5区
2291,井上貴博,自由民主党,福岡1区
2306,神田憲次,自由民主党,愛知5区
2317,佐藤勉,自由民主党,栃木4区
2321,大串正樹,自由民主党,近畿ブロック
2324,馬場伸幸,日本維新の会,大阪17区
2336,池畑浩太朗,日本維新の会,兵庫12区
2337,佐々木紀,自由民主党,石川2区
2338,西岡秀子,国民民主党,長崎1区
2342,国重徹,公明党,大阪府第5区
2353,根本匠,自由民主党,福島2区
2362,藤原崇,自由民主党,岩手3区
2376,城内実,自由民主党,静岡7区
2377,塩川鉄也,日本共産党,北関東ブロック
2379,玄葉光一郎,立憲民主党,福島3区
2380,谷川弥一,自由民主党,長崎3区
2381,吉田久美子,公明党,九州ブロック
2382,大河原雅子,立憲民主党,東京9区
2399,稲富修二,立憲民主党,九州ブロック
2416,江田憲司,立憲民主党,神奈川8区
2422,冨樫博之,自由民主党,秋田1区
2429,塩谷立,自由民主党,東海ブロック
2433,荒井優,立憲民主党,北海道ブロック
2438,三反園訓,無所属,鹿児島2区
2444,中川宏昌,公明党,北陸信越ブロック
2446,伴野豊,立憲民主党,東海ブロック
2449,山岸一生,立憲民主党,東京9区
2454,山岡達丸,立憲民主党,北海道9区
2471,谷公一,自由民主党,兵庫5区
2494,吉川元,立憲民主党,九州ブロック
2495,井林辰憲,自由民主党,静岡2区
2527,堀井学,自由民主党,北海道ブロック
2542,田中英之,自由民主党,近畿ブロック
2546,安住淳,立憲民主党,宮城5区
2571,原口一博,立憲民主党,佐賀1区
2584,土屋品子,自由民主党,埼玉13区
2603,寺田学,立憲民主党,東北ブロック
2623,本村伸子,日本共産党,東海ブロック
2639,庄子賢一,公明党,東北ブロック
2645,二階俊博,自由民主党,和歌山3区
2655,早稲田夕季,立憲民主党,神奈川4区
2663,菅直人,立憲民主党,東京18区
2668,遠藤利明,自由民主党,山形1区
2670,大岡敏孝,自由民主党,滋賀1区
2718,本庄知史,立憲民主党,千葉8区
2722,土田慎,自由民主党,東京13区
2729,大野敬太郎,自由民主党,香川3区
2732,宮本徹,日本共産党,東京ブロック
2741,松原仁,立憲民主党,東京3区
2743,緑川貴士,立憲民主党,秋田2区
2753,中川康洋,公明党,東海ブロック
2760,上川陽子,自由民主党,静岡1区
2765,国定勇人,自由民主党,北陸信越ブロック
2813,平将明,自由民主党,東京4区
2816,松野博一,自由民主党,千葉3区
2818,松島みどり,自由民主党,東京14区
2824,浅野哲,国民民主党,茨城5区
2826,高木陽介,公明党,東京ブロック
2831,中谷真一,自由民主党,山梨1区
2835,牧島かれん,自由民主党,神奈川17区
2836,越智隆雄,自由民主党,東京ブロック
2837,後藤茂之,自由民主党,長野4区
2841,小泉龍司,自由民主党,埼玉11区
2849,武部新,自由民主党,北海道12区
2859,田中良生,自由民主党,埼玉15区
2863,畦元将吾,自由民主党,中国ブロック
2865,吉良州司,無所属,大分1区
2869,道下大樹,立憲民主党,北海道1区
2871,青山周平,自由民主党,東海ブロック
2875,中野英幸,自由民主党,埼玉7区
2889,山田美樹,自由民主党,東京1区
2899,大西健介,立憲民主党,愛知13区
2923,加藤竜祥,自由民主党,長崎2区
2932,浦野靖人,日本維新の会,大阪15区
2940,井野俊郎,自由民主党,群馬2区
2942,後藤田正純,自由民主党,四国ブロック
2943,大島敦,立憲民主党,埼玉6区
2948,武藤容治,自由民主党,岐阜3区
2956,鈴木義弘,国民民主党,北関東ブロック
2974,甘利明,自由民主党,南関東ブロック
3022,津島淳,自由民主党,東北ブロック
3033,池田佳隆,自由民主党,東海ブロック
3038,藤丸敏,自由民主党,福岡7区
3042,守島正,日本維新の会,大阪2区
3043,山本有二,自由民主党,四国ブロック
3045,今村雅弘,自由民主党,九州ブロック
3047,源馬謙太郎,立憲民主党,静岡8区
3066,簗和生,自由民主党,栃木3区
3070,石井拓,自由民主党,愛知13区
3072,大塚拓,自由民主党,埼玉9区
3086,佐藤英道,公明党,北海道ブロック
3095,前原誠司,国民民主党,京都2区
3096,平口洋,自由民主党,広島2区
3109,仁木博文,無所属,徳島1区
3113,伊藤渉,公明党,東海ブロック
3129,北側一雄,公明党,大阪16区
3136,古川禎久,自由民主党,宮崎3区
3153,村上誠一郎,自由民主党,愛媛2区
3158,岡本三成,公明党,東京12区
3173,福田達夫,自由民主党,群馬4区
3183,細田博之,自由民主党,島根1区
3187,宮下一郎,自由民主党,長野5区
3189,宗清皇一,自由民主党,近畿ブロック
3190,吉野正芳,自由民主党,福島5区
3192,阿部司,日本維新の会,東京ブロック
3198,松本尚,自由民主党,千葉13区
3205,大串博志,立憲民主党,佐賀2区
3212,関芳弘,自由民主党,兵庫3区
3214,坂本祐之輔,立憲民主党,北関東ブロック
3216,森田俊和,立憲民主党,埼玉12区
3245,遠藤良太,日本維新の会,近畿ブロック
3246,西村明宏,自由民主党,宮城3区
3248,谷川とむ,自由民主党,近畿ブロック
3254,菅家一郎,自由民主党,東北ブロック
3272,江渡聡徳,自由民主党,青森1区
3273,武村展英,自由民主党,滋賀3区
3282,菅義偉,自由民主党,神奈川2区
3295,伊東良孝,自由民主党,北海道7区
3307,田村憲久,自由民主党,三重1区
3321,下村博文,自由民主党,東京11区
3330,石川香織,立憲民主党,北海道11区
5212,深澤陽一,自由民主党,静岡4区
5218,櫻井周,立憲民主党,比例近畿ブロック
5219,齋藤健,自由民主党,千葉7区
5392,塚田一郎,自由民主党,北陸信越ブロック
5426,小熊慎司,立憲民主党,福島4区
5445,島尻安伊子,自由民主党,沖縄3区
5495,藤岡隆夫,立憲民主党,比例北関東ブロック
5498,松木けんこう,立憲民主党,北海道2区
5501,山本太郎,れいわ新選組,比例東京ブロック
5505,林芳正,自由民主党,山口県第3区
5510,たがや亮,れいわ新選組,比例南関東ブロック
5515,中西健治,自由民主党,神奈川3区
5538,佐藤公治,立憲民主党,広島6区
5673,金田勝年,自由民主党,東北ブロック
5704,森山裕,自由民主党,鹿児島県第4区
5707,鰐淵洋子,公明党,比例近畿ブロック
5708,浮島智子,公明党,比例近畿ブロック
5711,漆間譲司,日本維新の会,大阪8区
5713,髙階恵美子,自由民主党,比例中国ブロック
5714,若林健太,自由民主党,長野県第1区
5715,宮本岳志,日本共産党,比例近畿ブロック
5716,義家弘介,自由民主党,比例南関東ブロック
5717,笠井亮,日本共産党,比例東京ブロック
5718,徳永久志,立憲民主党,比例近畿ブロック
5721,衛藤征士郎,自由民主党,大分県第2区
5722,井原巧,自由民主党,愛媛県第3区
5723,前川清成,日本維新の会,比例近畿ブロック
5724,寺田学,立憲民主党,比例東北ブロック
5725,高橋千鶴子,日本共産党,比例東北ブロック
5728,金田勝年,自由民主党,比例東北ブロック
