issueID	imageKind	nameOfHouse	nameOfMeeting	issue	date	summary	topics
121715254X02420250604	会議録	参議院	本会議	第24号	20250604	"午前十時一分開議
━━━━━━━━━━━━━
○議事日程　第二十五号
令和七年六月四日
午前十時開議
第一　株式会社地域経済活性化支援機構法の一部を改正する法律案（内閣提出、衆議院送付）
第二　公益通報者保護法の一部を改正する法律案（内閣提出、衆議院送付）
第三　労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律等の一部を改正する法律案（内閣提出、衆議院送付）
第四　貨物自動車運送事業法の一部を改正する法律案（衆議院提出）
第五　貨物自動車運送事業の適正化のための体制の整備等の推進に関する法律案（衆議院提出）
━━━━━━━━━━━━━
○本日の会議に付した案件
一、社会経済の変化を踏まえた年金制度の機能強化のための国民年金法等の一部を改正する等の法律案（趣旨説明）
以下　議事日程のとおり
─────・─────"	121715254X02420250604_003,121715254X02420250604_030,121715254X02420250604_035,121715254X02420250604_040
121715254X02520250606	会議録	参議院	本会議	第25号	20250606	"午前十時一分開議
━━━━━━━━━━━━━
○議事日程　第二十六号
令和七年六月六日
午前十時開議
第一　日本国の自衛隊とフィリピンの軍隊との間における相互のアクセス及び協力の円滑化に関する日本国とフィリピン共和国との間の協定の締結について承認を求めるの件（衆議院送付）
第二　日本国の自衛隊とイタリア共和国の軍隊との間における物品又は役務の相互の提供に関する日本国政府とイタリア共和国政府との間の協定の締結について承認を求めるの件（衆議院送付）
第三　行政書士法の一部を改正する法律案（衆議院提出）
第四　資金決済に関する法律の一部を改正する法律案（内閣提出、衆議院送付）
第五　円滑な事業再生を図るための事業者の金融機関等に対する債務の調整の手続等に関する法律案（内閣提出、衆議院送付）
━━━━━━━━━━━━━
○本日の会議に付した案件
一、環境影響評価法の一部を改正する法律案（趣旨説明）
以下　議事日程のとおり
─────・─────"	121715254X02520250606_003,121715254X02520250606_008,121715254X02520250606_009,121715254X02520250606_017,121715254X02520250606_020,121715254X02520250606_025,121715254X02520250606_033,121715254X02520250606_038,121715254X02520250606_043
121715254X02620250611	会議録	参議院	本会議	第26号	20250611	"午前十時一分開議
━━━━━━━━━━━━━
○議事日程　第二十七号
令和七年六月十一日
午前十時開議
第一　令和五年度一般会計歳入歳出決算、令和五年度特別会計歳入歳出決算、令和五年度国税収納金整理資金受払計算書、令和五年度政府関係機関決算書
第二　令和五年度国有財産増減及び現在額総計算書
第三　令和五年度国有財産無償貸付状況総計算書
第四　公立の義務教育諸学校等の教育職員の給与等に関する特別措置法等の一部を改正する法律案（内閣提出、衆議院送付）
第五　日本学術会議法案（内閣提出、衆議院送付）
第六　食品等の流通の合理化及び取引の適正化に関する法律及び卸売市場法の一部を改正する法律案（内閣提出、衆議院送付）
━━━━━━━━━━━━━
○本日の会議に付した案件
議事日程のとおり
─────・─────"	121715254X02620250611_002,121715254X02620250611_006,121715254X02620250611_008,121715254X02620250611_010,121715254X02620250611_033,121715254X02620250611_035,121715254X02620250611_045,121715254X02620250611_047,121715254X02620250611_049,121715254X02620250611_055
121715254X02720250613	会議録	参議院	本会議	第27号	20250613	"午前十時一分開議
━━━━━━━━━━━━━
○議事日程　第二十八号
令和七年六月十三日
午前十時開議
第一　スポーツ基本法及びスポーツにおけるドーピングの防止活動の推進に関する法律の一部を改正する法律案（衆議院提出）
第二　外国為替及び外国貿易法第十条第二項の規定に基づき、北朝鮮を仕向地とする貨物の輸出及び北朝鮮を原産地又は船積地域とする貨物の輸入につき承認義務を課する等の措置を講じたことについて承認を求めるの件（衆議院送付）
第三　信託業法の一部を改正する法律案（内閣提出、衆議院送付）
第四　盗難特定金属製物品の処分の防止等に関する法律案（内閣提出、衆議院送付）
第五　手話に関する施策の推進に関する法律案（内閣委員長提出）
第六　環境影響評価法の一部を改正する法律案（内閣提出、衆議院送付）
第七　社会経済の変化を踏まえた年金制度の機能強化のための国民年金法等の一部を改正する等の法律案（内閣提出、衆議院送付）
━━━━━━━━━━━━━
○本日の会議に付した案件
一、日程第一より第七まで
一、行政監視、行政評価及び行政に対する苦情に関する調査の中間報告
一、外交・安全保障に関する調査の報告
一、国民生活・経済及び地方に関する調査の報告
一、原子力等エネルギー・資源、持続可能社会に関する調査の報告
一、情報監視審査会の調査及び審査の報告
─────・─────"	121715254X02720250613_002,121715254X02720250613_006,121715254X02720250613_012,121715254X02720250613_017,121715254X02720250613_030,121715254X02720250613_038,121715254X02720250613_043,121715254X02720250613_048,121715254X02720250613_051,121715254X02720250613_054
121715254X02820250618	会議録	参議院	本会議	第28号	20250618	"午前十時一分開議
━━━━━━━━━━━━━
○議事日程　第二十九号
令和七年六月十八日
午前十時開議
第一　国務大臣の報告に関する件（令和六年度政策評価等の実施状況及びこれらの結果の政策への反映状況に関する報告について）
第二　ギャンブル等依存症対策基本法の一部を改正する法律案（衆議院提出）
第三　社会保険労務士法の一部を改正する法律案（衆議院提出）
━━━━━━━━━━━━━
○本日の会議に付した案件
議事日程のとおり
─────・─────"	121715254X02820250618_002,121715254X02820250618_008,121715254X02820250618_009,121715254X02820250618_022,121715254X02820250618_027,121715254X02820250618_029,121715254X02820250618_034,121715254X02820250618_035,121715254X02820250618_038,121715254X02820250618_043
121715254X02920250620	会議録	参議院	本会議	第29号	20250620	"午後五時三十一分開議
━━━━━━━━━━━━━
○議事日程　第三十号
令和七年六月二十日
午前十一時三十分開議
第一　独立行政法人男女共同参画機構法案（内閣提出、衆議院送付）
第二　独立行政法人男女共同参画機構法の施行に伴う関係法律の整備等に関する法律案（内閣提出、衆議院送付）
━━━━━━━━━━━━━
○本日の会議に付した案件
一、議員辞職の件
一、租税特別措置法及び東日本大震災の被災者等に係る国税関係法律の臨時特例に関する法律の一部を改正する法律案（趣旨説明）
一、日程第一及び第二
一、優生保護法問題の全面解決に関する請願外三百十二件の請願
一、委員会の審査及び調査を閉会中も継続するの件
─────・─────"	121715254X02920250620_002,121715254X02920250620_004,121715254X02920250620_007,121715254X02920250620_019
121805254X00120250801	会議録	衆議院	本会議	第1号	20250801	"―――――――――――――
議事日程　第一号
令和七年八月一日
午後一時開議
第一　議席の指定
第二　会期の件
―――――――――――――
○本日の会議に付した案件
日程第一　議席の指定
日程第二　会期の件
東日本大震災からの復興・防災・災害に関する総合的な対策を樹立するため委員四十人よりなる東日本大震災復興・防災・災害対策に関する特別委員会、政治改革に関する調査を行うため委員四十人よりなる政治改革に関する特別委員会、沖縄及び北方問題に関する対策樹立のため委員二十五人よりなる沖縄及び北方問題に関する特別委員会、北朝鮮による拉致等に関する諸問題を調査し、その対策樹立に資するため委員二十五人よりなる北朝鮮による拉致問題等に関する特別委員会、消費者の利益の擁護及び増進等に関する総合的な対策を樹立するため委員三十五人よりなる消費者問題に関する特別委員会、原子力に関する諸問題を調査するため委員三十五人よりなる原子力問題調査特別委員会及び地域活性化・こども政策・デジタル社会形成に関する総合的な対策を樹立するため委員三十五人よりなる地域活性化・こども政策・デジタル社会形成に関する特別委員会を設置するの件（議長発議）
午後一時二分開議"	121805254X00120250801_005
121805254X00220250805	会議録	衆議院	本会議	第2号	20250805	"―――――――――――――
令和七年八月五日
午後一時　本会議
―――――――――――――
○本日の会議に付した案件
国家基本政策委員会及び懲罰委員会を除く内閣委員会外十四常任委員会並びに東日本大震災復興・防災・災害対策に関する特別委員会外六特別委員会において、各委員会から申出のあった案件について閉会中審査するの件（議長発議）
午後一時二分開議"	
121815254X00120250801	会議録	参議院	本会議	第1号	20250801	"午前十時一分開議
━━━━━━━━━━━━━
○議事日程　第一号
令和七年八月一日
午前十時開議
第一　議席の指定
第二　議長辞任の件
第三　副議長の選挙
第四　常任委員の選任
第五　常任委員長の選挙
第六　憲法審査会委員の選任
第七　情報監視審査会委員の選任
第八　政治倫理審査会委員の選任
第九　会期の件
━━━━━━━━━━━━━
○本日の会議に付した案件
一、日程第一及び第二
一、議長の選挙
一、日程第三より第五まで
一、特別委員会設置の件
一、日程第六
一、情報監視審査会委員辞任の件
一、日程第七より第九まで
一、元議員峯山昭範君逝去につき哀悼の件
─────・─────"	121815254X00120250801_022,121815254X00120250801_036
121815254X00220250805	会議録	参議院	本会議	第2号	20250805	"午後二時三十一分開議
━━━━━━━━━━━━━
○議事日程　第二号
─────────────
令和七年八月五日
午後二時三十分　本会議
─────────────
第一　委員会の審査及び調査を閉会中も継続するの件
━━━━━━━━━━━━━
○本日の会議に付した案件
議事日程のとおり
─────・─────"	
