topicID	issueID	summary	participants	tags	is_tariff_trump	is_palestine_recognition
121705254X03420250612_003	121705254X03420250612	大岡敏孝が独立行政法人男女共同参画機構法案と関連法案の審議経過を報告。市村浩一郎が法案に反対し、国立女性教育会館の研修施設撤去に反対。上村英明も反対し、日本のジェンダー格差や財政支援の不足を指摘。塩川鉄也も同様に、財政支援の不足とジェンダー平等推進への影響を指摘し、法案に反対。	['大岡敏孝', '市村浩一郎', '上村英明', '塩川鉄也']	['人権問題', '多様性・ジェンダー', '経済・財政政策']	False	False
121705254X03520250618_000	121705254X03520250618	This is a highly contentious parliamentary debate centered around the immediate abolition of the temporary gasoline tax rate in Japan, currently set at 25 yen per liter plus 10 yen. The core issue revolves around political maneuvering, particularly by the ruling party, and the lack of decisive action by opposition parties. The debate is characterized by accusations of delaying tactics, a focus on upcoming elections, and a deep distrust of the ruling party’s intentions. Key arguments include the need for immediate action, concerns about the ruling party’s motives, and the importance of upholding democratic principles by ensuring genuine debate and representation of public opinion.	"[{'name': 'Various Opposition Parties', 'arguments': ['Demand for immediate abolition of the gasoline tax rate.', ""Criticism of the ruling party's delaying tactics."", 'Accusations of prioritizing election performance over public welfare.', 'Emphasis on democratic principles and representative governance.']}, {'name': 'Ruling Party (Implied)', 'arguments': ['Delaying the issue due to impending elections.', 'Focusing on discussing the matter at a later time.', 'Suggesting that the debate should be conducted as a performance during election season.']}]"	['選挙・政治資金', '行政改革・公務員制度', '憲法・皇室']	False	False
121705254X03620250620_005	121705254X03620250620	This document presents a transcript of a parliamentary debate concerning a bill to abolish the temporary gasoline tax rate in Japan. The debate centers on the urgency of addressing persistent inflation, the inadequacy of existing measures like cash handouts, and the necessity of broader economic reforms, primarily focused on reducing the consumption tax. Key arguments include the need for immediate action to alleviate the financial strain on citizens, the flaws in relying solely on temporary relief measures, and the importance of fundamental tax reforms as the most effective approach to combatting inflation.	[]	['経済・財政政策', '金融・金融政策', '経済・財政政策']	False	False
121705254X03620250620_028	121705254X03620250620	鈴木隼人氏が、裁判所の人的・物的充実に関する請願を一括議題として審査を求める緊急動議を提案。	['鈴木隼人']	['司法・法務', '行政改革・公務員制度']	False	False
121715254X02220250528_009	121715254X02220250528		[]		False	False
121715254X02220250528_021	121715254X02220250528	学術会議の法人化は、会員選考の自律性、適正な運営、説明責任の担保を目的とする。政府は報告書や幹事会での詳細な説明に加え、内閣府からの見解提示を通じて、学術会議とのコミュニケーションを継続する。会員選任、評価委員会、中期計画は学術会議自身が決定し、国の関与は最小限とされている。	['坂井学']	['行政改革・公務員制度', '憲法・皇室', '多様性・ジェンダー']	False	False
121715254X02220250528_023	121715254X02220250528	日本学術会議法案について、井上哲士は政府による学術会議の独立性・自主性・自律性の侵害を強く批判。二〇二〇年の会員任命拒否や学術会議の解体目的を指摘し、政府の答弁を求める。	['井上哲士']	['安全保障・防衛', '憲法・皇室', '行政改革・公務員制度']	False	False
121715254X02220250528_024	121715254X02220250528	坂井学氏は、内閣総理大臣による日本学術会議会員の任命を廃止し、会員選考に外部の意見を求める選定助言委員会を設ける新法案について、法案の目的は学術会議の独立性と機能強化であり、学術会議の自由な活動を阻害しないと説明した。	['坂井学']	['憲法・皇室', '科学技術・イノベーション', '多様性・ジェンダー']	False	False
121715254X02220250528_027	121715254X02220250528	国会議員選挙執行費交付基準改定案が、選挙の円滑な執行を目的として多数決で可決された。	['豊田俊郎']	['選挙・政治資金']	False	False
121715254X02220250528_032	121715254X02220250528	能登半島地震を踏まえ、国による災害対策強化を図る法律案が、登録被災者援護協力団体の欠格事由修正案を rejected し、全会一致で可決された。	['塩田博昭', '仁比聡平']	['防災・災害対策', '行政改革・公務員制度']	False	False
121715254X02220250528_037	121715254X02220250528	令和五年度予備費四件について、決算委員会で多数決により承諾が議決された。具体的な費目としては、原油価格・物価高騰対策、災害復旧事業、地方譲与税譲与金などが含まれる。	['片山さつき', '関口昌一', '青木', '山口', '大門']	['経済・財政政策', '防災・災害対策', '地方創生・地域活性化']	False	False
121715254X02220250528_048	121715254X02220250528	経済産業委員会で、脱炭素成長型経済構造促進を図る法律案が多数決で可決された。日本共産党が反対意見を表明した。	['牧山ひろえ', '岩渕']	['経済・財政政策', '環境・気候変動']	False	False
121715254X02220250528_053	121715254X02220250528	人工知能関連技術の推進に関する法律案が、多数決で可決された。委員会では、AI研究開発支援、リスク対応、国際比較、人材育成などが議論された。	['和田政宗', '井上 (日本共産党)', '木戸口 (立憲民主・社民・無所属)', '大島 (れいわ新選組)', '片山 (日本維新の会)', '竹詰 (国民民主党・新緑風会)']	['科学技術・イノベーション', 'デジタル・情報通信', '安全保障・防衛']	False	False
121715254X02320250530_002	121715254X02320250530	小泉大臣が食品等の流通合理化・取引適正化に関する法律案（食品等事業者による事業活動の促進及び食品等の取引の適正化に関する法律）について、食品等の持続的な供給と取引条件の適正化を目指すこと、卸売市場法の一部改正、および４つの事業活動計画の認定制度を説明した。横沢議員からの質疑に対し、米価格の五キロ二千円は独断ではないこと、再生産可能な価格形成の必要性、事業者の努力義務、コスト指標作成団体の認定手続きなどを説明した。	['関口昌一', '小泉進次郎', '横沢高徳']	['経済・財政政策', '産業・企業支援', '金融・金融政策']	False	False
121715254X02320250530_006	121715254X02320250530	小泉進次郎氏は、米の生産量増加、価格高騰、食料システム法案の背景などを説明。法案は、農林漁業者と消費者間の安定取引を促進し、食料の持続的な供給を目指すものであり、費用を考慮した価格形成を促すものであることを強調した。	['小泉進次郎']	['経済・財政政策', '農林水産', '環境・気候変動']	False	False
121715254X02320250530_008	121715254X02320250530	米の価格高騰と食料安全保障をめぐり、松野明美議員が備蓄米放出の遅れや国民への負担を批判。小泉進次郎は、米価高騰への緊急措置、食品流通法の改正、国産原材料の安定調達など、構造的な対応を提示し、消費者理解の醸成と物流の安定化を強調した。	['松野明美', '小泉進次郎']	['経済・財政政策', '産業・企業支援', '食品流通']	False	False
121715254X02320250530_011	121715254X02320250530	This document summarizes a parliamentary session focused on addressing rising food costs, particularly rice, and supporting school lunch programs in Japan. It details the responses of two key figures: Representative Kazuhiro Kamiya, who represents the opposition, and Minister of Education, Culture, Sports, Science and Technology, Junko Mishima. The core issues addressed include: rice supply, government support for school lunches, and the mechanism for adjusting prices to account for rising costs. Both speakers emphasized collaboration, strategic planning, and a multi-faceted approach to tackle the challenges.	[]	['経済・財政政策', '教育・文化', '人権問題']	False	False
121715254X02320250530_020	121715254X02320250530	両法律案（譲渡担保契約・所有権留保契約関連法）は、全会一致で可決された。契約ルール明文化、企業倒産時の労働債権保護などを議論した。	['若松謙維']	['労働問題・働き方改革', '経済・財政政策', '司法・法務']	False	False
121715254X02320250530_025	121715254X02320250530	小西洋之氏が、航空機の安全確保のための技能発揮訓練義務付けや空港機能維持策について報告。多数決で法律案が可決された。	['小西洋之']	['安全保障・防衛', '経済・財政政策', '国土交通・インフラ']	False	False
121715254X02320250530_030	121715254X02320250530	三宅伸吾氏が、保険業に対する信頼性確保と健全な発展を図る法律案の審査経過と可決結果を報告。全会一致で原案どおり可決された。	['三宅伸吾']	['金融・金融政策', '経済・財政政策', '企業支援']	False	False
121715254X02420250604_003	121715254X02420250604	"This document is a transcript of a parliamentary question session between a Japanese MP (倉林明子) and several cabinet ministers, primarily focused on the National Pension System and its challenges, particularly regarding adjustments to payments and support for disabled pensioners.

**Key Issues and Minister Responses:**

* **Inflation and Pension Adjustments:** The core of the questions centered on the failure of the current system to adequately adjust pension payments in response to inflation and the need for a more responsive mechanism. Minister Fukuoka acknowledged the situation but defended the existing system and emphasized the importance of growth-driven wage increases and investment.
* **Support for Disabled Pensioners:** Several questions addressed the need for increased support for disabled pensioners. Ministers Fukuoka and Fukuoka offered responses, including the provision of a supplementary payment (年金生活者支援給付金) and ongoing efforts to improve the process for identifying and assisting eligible individuals. They emphasized a multi-faceted approach involving examining individual circumstances and linking the pension system with other disability support programs.
* **Disability Pensioner Eligibility & Certification:** There was a significant focus on the process of determining eligibility for disability pensions and the reliance on medical assessments. Minister Fukuoka explained that the assessment considers both the individual's physical limitations and the impact of those limitations on their daily life. He stated that a two-option system is not in place, but that the assessment considers not just function but also the impact of those limitations on the individual's daily life.
* **Systemic Issues and Reform:**  The session highlights a significant concern about the responsiveness and fairness of the current National Pension System. Ministers consistently pointed towards economic growth and broader policies as drivers for pension increases, rather than solely adapting to inflation.
* **Ongoing Review:** The ministers acknowledged the need for continuous improvement and indicated a commitment to reviewing the system and incorporating feedback from stakeholders. 

**Overall Tone:** The session reveals a complex and potentially contentious situation. The MP’s questions directly challenged the government’s approach and highlighted a perceived failure to meet the needs of its citizens. The ministers’ responses were largely defensive and focused on broader economic goals, suggesting a reluctance to fully acknowledge the specific concerns raised by the MP."	[]	['年金・社会保障', '経済・財政政策', '人権問題']	False	False
121715254X02420250604_030	121715254X02420250604	塩田氏より、能登半島地震復興に向けた法律案の可決報告。株式会社地域経済活性化支援機構の業務期限延長と支援基準整備に関する内容。全会一致で原案どおり可決。	['塩田博昭']	['経済・財政政策', '産業・企業支援', '防災・災害対策']	False	False
121715254X02420250604_035	121715254X02420250604	石井章氏が、公益通報者保護を強化する法律案の特別委員会審査結果と全会一致での可決を報告。附則の検討期間短縮と附帯決議が行われた。	['石井章']	['安全保障・防衛', '行政改革・公務員制度', '選挙・政治資金']	False	False
121715254X02420250604_040	121715254X02420250604	柘植芳文氏が、カスタマーハラスメント・セクシュアルハラスメント防止、女性活躍推進、賃金差異公表を義務付ける法律案の可決を報告。議論では倉林委員、天畠委員が反対意見を表明。	['柘植芳文', '倉林明子', '天畠大輔']	['労働問題・働き方改革', '多様性・ジェンダー', '女性活躍推進']	False	False
121715254X02520250606_003	121715254X02520250606	環境影響評価法を改正し、既存工作物の建て替え（配慮書）手続を簡素化する。既存事業の環境影響調査結果を活用し、後続事業者による環境配慮を促進する。環境影響評価図書の継続公開を強化し、透明性を高める。戦略的環境影響評価制度との連携を強化し、長期的な環境保全を推進する。	['浅尾慶一郎', '関口昌一', '川田龍平', '中谷元', 'あべ俊子']	['環境・気候変動', 'デジタル・情報通信', '行政改革・公務員制度']	False	False
121715254X02520250606_008	121715254X02520250606	環境省がアセス図書の著作権法上の扱いについて検討しており、著作権者の許諾を得れば利用可能であると国務大臣あべ俊子が説明。	['あべ俊子', '岩屋毅']	['環境・気候変動', '著作権・知的財産']	False	False
121715254X02520250606_009	121715254X02520250606	This is a transcript of a parliamentary hearing regarding revisions to Japan's Environmental Impact Assessment (EIA) system, focusing on changes related to power plant decommissioning and ongoing environmental monitoring.	['Minister of State (Economic Strategy and Competition) -浅尾慶一郎 (Aso Keiro)', 'Minister of State (Economic Strategy and Competition) -浜野 孝志 (Hamae Takashi)', 'Minister of State (Economic Strategy and Competition) -武藤 容治 (Mutō Youji)']	['環境・気候変動', '産業・企業支援', 'デジタル・情報通信']	False	False
121715254X02520250606_017	121715254X02520250606	武藤容治国務大臣は、火力発電事業者限定の排出枠オークションと、GX経済移行債の発行について説明。加藤勝信国務大臣は、財政健全化目標を維持しつつ経済対策や税制改正を実施しながら、物価高対策などを継続する方針を示した。	['武藤容治', '加藤勝信']	['経済・財政政策', '金融・金融政策', 'エネルギー政策']	False	False
121715254X02520250606_020	121715254X02520250606	山下芳生氏は、環境影響評価法（アセス法）における発電所（特に原子力発電所）の適用除外、戦略的環境影響評価制度の不在、および環境影響評価の合理化に関する問題を指摘。特に、既存事業の環境影響を考慮せず、単に環境配慮を記載するだけで済む現状に強く問題視し、環境影響評価の適正化と国民の環境保護を求めている。	['山下芳生', '浅尾慶一郎', '武藤容治', '武藤容治']	['環境・気候変動', '防災・災害対策', '人権問題']	False	False
121715254X02520250606_025	121715254X02520250606	滝沢求氏が、フィリピン・イタリアとの部隊間協力協定と物品役務相互提供協定の審査報告と承認結果を報告。日本共産党の山添氏、沖縄の風の伊波委員より反対意見が出たが、多数決で承認された。	['滝沢求', '山添', '伊波']	['安全保障・防衛', '外交・国際関係']	False	False
121715254X02520250606_033	121715254X02520250606	行政書士制度に関する法律案を全会一致で可決。特定行政書士の業務拡大と違反行為への両罰規定を設ける内容。	['宮崎勝', '竹内譲']	['選挙・政治資金', '司法・法務', '人権問題']	False	False
121715254X02520250606_038	121715254X02520250606	金融デジタル化に対応し、資金移動業の規制、暗号資産交換業者への資産保有命令、電子決済サービス仲介業の創設を盛り込んだ法律案が、全会一致で可決された。	['三宅伸吾', '関口昌一']	['金融・金融政策', 'デジタル・情報通信', '経済・財政政策']	False	False
121715254X02520250606_043	121715254X02520250606	事業再生を円滑化するための法律案が、事業者の申出と裁判所認可に基づき債務調整を可能とするもの。日本共産党が反対意見を表明し、多数決で可決された。	['牧山ひろえ', '岩渕']	['経済・財政政策', '金融・金融政策', '選挙・政治資金']	False	False
121715254X02620250611_002	121715254X02620250611	令和五年度決算において、会計検査院からの再発防止策の不備や財源管理の課題、インフラ老朽化への対応の遅れなどが指摘された。内閣に対する警告案は全会一致で可決された。	['羽田次郎', '片山さつき']	['経済・財政政策', '国土交通・インフラ', '歳入歳出改革・予算']	False	False
121715254X02620250611_006	121715254X02620250611	山口和之氏は、日本の財政状況（GDP比債務過多、国債消化不良、巨額の予備費と不用額、管理体制の不備）を問題視し、社会保障費の対応不足、予備費の濫用、不用額の削減、管理体制の改善を求めるとともに、政府・与党に対し、国民の信頼を損ねる財政運営からの脱却を訴えた。	['山口和之']	['経済・財政政策', '年金・社会保障', '行政改革・公務員制度']	False	False
121715254X02620250611_008	121715254X02620250611	竹詰仁氏は、令和五年度決算案に対し、給料低下、少子化、裏金問題、インボイス制度、燃料油補助金、電気代補助金、下水道陥没問題、官民ファンド、会計検査院の指摘事項など、様々な問題点を指摘し、反対討論を行う。	['竹詰仁']	['年金・社会保障', '経済・財政政策', '行政改革・公務員制度']	False	False
121715254X02620250611_010	121715254X02620250611		[]		False	False
121715254X02620250611_033	121715254X02620250611	金子道仁は、公立義務教育学校教師の給与等に関する特別措置法案について、人口減少社会や教育の役割を踏まえ、教師のワークライフバランス実現、人事評価制度へのワーク・ライフ・バランス項目の追加などを提案。次世代の教育環境改善と子供たちの自立した成長を重視。	['金子道仁']	['教育・文化', '年金・社会保障', '労働問題・働き方改革']	False	False
121715254X02620250611_035	121715254X02620250611	"The speech is a passionate and critical condemnation of the proposed Japanese Science and Technology Agency law, arguing that it fundamentally undermines the independence and integrity of the Japan Science and Technology Agency (JSTA). The speaker, a member of the opposition, highlights several key concerns, including government interference, a lack of respect for the JSTA’s autonomy, and the potential for political manipulation through the selection of its members. The speech emphasizes the importance of academic freedom, the JSTA’s historical role, and calls for a thorough reconsideration of the proposed law. 

**Key Points:**

*   **Government Interference:** The core argument is that the proposed law creates an environment ripe for government influence on scientific research.
*   **Disregard for JSTA Autonomy:** The speaker accuses the government of failing to value the JSTA's independence and the voices of its members.
*   **Threat to Academic Freedom:** The potential for political selection of members poses a grave risk to academic freedom and the pursuit of unbiased research.
*   **Historical Context:** The speech invokes the JSTA’s founding principles and historical role to underscore its importance and the need to protect it.
*   **Call for Reconsideration:** The speaker urges a critical reassessment of the law and a commitment to upholding the values of scientific integrity and independence."	[]	['安全保障・防衛', '科学技術・イノベーション', '経済・財政政策']	False	False
121715254X02620250611_045	121715254X02620250611	柴田巧氏は、日本学術会議法案を第一歩として、学術会議の民営化、独立性の確保、財政自立、研究インテグリティー強化、透明性の高い運営を求め、抜本的改革に向けた継続的な議論を提案した。	['柴田巧']	['科学技術・イノベーション', '経済・財政政策', '行政改革・公務員制度']	False	False
121715254X02620250611_047	121715254X02620250611	日本学術会議法案に対し、竹詰仁議員は政府の答弁に納得せず、学術会議側の懸念や意見が反映されていない点を指摘。政府案の監事等の設置や財源確保などについて疑問を呈し、政府と学術会議の信頼関係再構築を訴えている。	['竹詰仁']	['憲法・皇室', '行政改革・公務員制度', '選挙・政治資金']	False	False
121715254X02620250611_049	121715254X02620250611	井上哲士氏は、日本学術会議法案に反対し、内閣総理大臣による会員任命の違法性、政府による学術会議への介入、平和理念の否定を強く批判した。特に、学術会議の自律性・自主性を奪う仕組みや、前文の変更を問題視し、学術会議の理念を守るための闘いを決意した。	['井上哲士']	['憲法・皇室', '行政改革・公務員制度', '人権問題']	False	False
121715254X02620250611_055	121715254X02620250611	舞立昇治氏が食品等事業者による事業活動強化と取引適正化に関する法律案の審査報告を行った。全会一致で原案どおり可決され、附帯決議も付された。	['舞立昇治']	['経済・財政政策', '産業・企業支援', '食品等']	False	False
121715254X02720250613_002	121715254X02720250613	文部科学委員会でスポーツ基本法とドーピング防止活動に関する法律案が、全会一致で可決された。スポーツ予算の拡充も議論された。	['堂故茂', '関口昌一']	['教育・文化', 'スポーツ・文化']	False	False
121715254X02720250613_006	121715254X02720250613	北朝鮮への輸出・輸入に関する経済産業大臣の承認義務措置の承認を求める件について、全会一致で承認が決定された。	['関口昌一', '牧山ひろえ']	['経済・財政政策', '産業・企業支援', '外交・国際関係']	False	False
121715254X02720250613_012	121715254X02720250613	三宅伸吾氏が、公益信託に関する法律案の審査経過と可決結果を報告。委員会で反対意見が出たものの、多数決で原案どおり可決された。	['三宅伸吾', '勝部賢志', '梅村みずほ']	['行政改革・公務員制度', '選挙・政治資金', '憲法・皇室']	False	False
121715254X02720250613_017	121715254X02720250613	盗難特定金属製物品と手話に関する二つの法律案が可決。盗難防止法は230投票、手話促進法は238投票で可決、それぞれ19、19票が反対。	['和田政宗', '関口昌一', '青山繁晴', '山本', '山下', 'れいわ新選組', '日本共産党']	['人権問題', '法律・制度']	False	False
121715254X02720250613_030	121715254X02720250613		[]		False	False
121715254X02720250613_038	121715254X02720250613	倉林明子氏は、年金制度の機能強化のため、マクロ経済スライド継続による年金水準の低下に反対し、物価高騰に見合った年金額の引き上げ、障害年金の見直し、低賃金による女性の年金問題などを訴えた。	['倉林明子']	['年金・社会保障', '労働問題・働き方改革', '人権問題']	False	False
121715254X02720250613_043	121715254X02720250613	行政監視委員会が行政監視の実施状況に関する報告を求められた。福島みずほ委員が、行政評価、苦情窓口の運用、行政評価局の調査など、多岐にわたる取り組みを報告した。	['関口昌一', '福島みずほ']	['行政改革・公務員制度', '憲法・皇室', '人権問題']	False	False
121715254X02720250613_048	121715254X02720250613	猪口邦子氏が、21世紀の戦争と平和に関する調査報告の概要を説明。国際秩序の構築、核軍縮・不拡散、人道問題、気候変動、国連改革など多岐にわたる課題に対する提言を提示した。	['猪口邦子']	['安全保障・防衛', '外交・国際関係', '環境・気候変動']	False	False
121715254X02720250613_051	121715254X02720250613	国民生活・経済及び地方に関する調査会において、誰もが希望を持てる社会の構築に向けた提言（雇用、地域、子どもの支援、障がい者支援）が報告された。	['福山哲郎']	['こども・子育て支援', '経済・財政政策', '地域創生・地域活性化']	False	False
121715254X02720250613_054	121715254X02720250613	宮沢洋一君と有村治子君が、それぞれ資源エネルギーに関する調査報告書と情報監視審査会の年次報告書について説明した。両報告書は、エネルギー安全保障、情報保全、再発防止策の実施、業務効率化などを主な指摘事項として政府に提言している。	['宮沢洋一', '有村治子']	['安全保障・防衛', 'エネルギー政策', '情報通信・デジタル']	False	False
121715254X02820250618_002	121715254X02820250618	政策評価制度の推進、EBPMの強化、技術職員の確保、水田政策の見直しに関する議論が展開された。特に、米価高騰とそれに対する備蓄米放出、水田政策の見直しが焦点となった。	['村上誠一郎', '宮崎雅夫', '小泉進次郎']	['経済・財政政策', '農業・農林水産', '安全保障・防衛']	False	False
121715254X02820250618_008	121715254X02820250618	村上大臣は、政策評価の目的は単なる形式的なものではなく、改善につなげること、国民への説明責任を果たすこと、そして不正や不適正事案の公表と改善を強調した。マイナポイント事業や給付金制度、災害教訓伝承、南海トラフ巨大地震対策など、過去の政策評価の不足や、自治体との連携不足、住民への十分な情報提供の不足を指摘し、具体的な対策として、政策評価の質的向上、自治体との連携強化、住民への情報提供の充実を求め、行政監視機能を強化していく決意を表明した。	['岸真紀子', '村上誠一郎']	['行政改革・公務員制度', '選挙・政治資金', '防災・災害対策', '経済・財政政策']	False	False
121715254X02820250618_009	121715254X02820250618	This document is a transcript of a series of parliamentary questions and answers concerning Japan's fiscal policy, policy evaluation, and specific initiatives like the fuel price stabilization measure. The questions primarily focus on the accuracy of assessments, particularly regarding the impact of the Tax Special Measures and the evaluation of the Fuel Price Stabilization Measure. The answers emphasize the government's commitment to evidence-based policy making, adaptation to changing circumstances, and a pragmatic approach to addressing economic challenges.	[]	['経済・財政政策', '金融・金融政策', '政策評価']	False	False
121715254X02820250618_022	121715254X02820250618	芳賀道也議員は、与党の財源確保の遅れ、二万円給付の突発性、ガソリン税の廃止問題、地方の人口減少、医師不足、備蓄米の放出など、多岐にわたる政策課題を指摘し、政府への具体的な答弁を求めた。国務大臣たちは、財政状況の厳しさ、地方創生と人口減少への適応策、ガソリン税廃止の議論、備蓄米問題などについて、従来のスタンスを強調し、政府としての対応を表明した。	['芳賀道也', '石破', '浅野哲代議士', '浜野議員', '玉木代表', '村上誠一郎', '加藤勝信', '武藤容治', '松浦司', '小泉新大臣', '農水省', '総務省行政評価局', '東日本地域の女性の転出超過', '西高東低']	['経済・財政政策', '地方創生・地域活性化', '安全保障・防衛']	False	False
121715254X02820250618_027	121715254X02820250618	武藤容治国務大臣は、過疎市町村のガソリンスタンド支援と燃料供給体制強化を説明。小泉進次郎国務大臣は、米の生産量増加、備蓄米の運用方法、米価高騰対策、そして米政への国民関心の高まりについて述べた。	['武藤容治', '小泉進次郎', '福岡資麿', '芳賀道也']	['経済・財政政策', 'エネルギー政策', '農業・農林水産']	False	False
121715254X02820250618_029	121715254X02820250618	This transcript details a parliamentary exchange between Japanese government ministers concerning various social and economic issues. Key topics include gender equality, healthcare reform, worker rights, and the ratification of international agreements. The ministers address concerns about healthcare access, wage stagnation, and the implementation of international standards related to gender equality and worker protection. They outline current policy initiatives and express ongoing commitment to addressing these challenges.	[]	['労働問題・働き方改革', '人権問題', '経済・財政政策']	False	False
121715254X02820250618_034	121715254X02820250618	選択的夫婦別氏制度について、政府は国民及び議員間の建設的な議論を重視。多様な意見を考慮し、情報提供を継続する方針。	['鈴木馨祐', '林芳正']	['多様性・ジェンダー', '憲法・皇室']	False	False
121715254X02820250618_035	121715254X02820250618	林芳正大臣は、女子差別撤廃条約の対応と男女共同参画の推進を表明。政府として重要な課題と認識し、関連計画に基づき取り組む意向を示した。	['林芳正']	['外交・国際関係', '人権問題', '多様性・ジェンダー']	False	False
121715254X02820250618_038	121715254X02820250618	和田政宗氏が、オンラインギャンブル禁止法案の審議結果（多数可決）と附帯決議について報告。大島委員から反対意見が出たものの、原案どおり可決された。	['和田政宗', '大島', '大岡敏孝']	['労働問題・働き方改革', '人権問題', '選挙・政治資金']	False	False
121715254X02820250618_043	121715254X02820250618	厚生労働委員会において、社会保険労務士制度に関する法律案が、賛成2323、反対5の多数決で可決された。	['柘植芳文', '藤丸敏', '天畠大輔', '倉林明子', '関口昌一']	['年金・社会保障', '労働問題・働き方改革', '行政改革・公務員制度']	False	False
121715254X02920250620_002	121715254X02920250620	鈴木宗男議員の議員辞職許可について、異議が出ず、承認された。	['関口昌一', '鈴木宗男']	['選挙・政治資金', '行政改革・公務員制度']	False	False
121715254X02920250620_004	121715254X02920250620	野党七党（立憲民主党など）が、ガソリン暫定税率廃止を目的とする法案を提出。物価上昇と中東情勢を理由に、与党（自民党など）の不作為を批判し、法案成立を求めている。	['関口昌一', '重徳和彦']	['経済・財政政策', 'エネルギー政策', '外交・国際関係']	False	False
121715254X02920250620_007	121715254X02920250620		[]		False	False
121715254X02920250620_019	121715254X02920250620	男女共同参画機構法と関連法案について、委員会で審議・採決が終わり、両案は原案どおり可決された。日本維新の会の修正案は否決された。	['和田政宗', '関口昌一', '片山', '井上', '大島']	['多様性・ジェンダー', '行政改革・公務員制度']	False	False
121805254X00120250801_005	121805254X00120250801	議長が、東日本大震災対策、政治改革、沖縄・北方問題、拉致問題、消費者問題、原子力問題など、複数の特別委員会の設置を提案。異議なし。	['額賀福志郎']	['安全保障・防衛', '外交・国際関係', '憲法・皇室']	False	False
121815254X00120250801_022	121815254X00120250801	議長関口昌一氏が、災害対策、政治改革、北朝鮮拉致問題、地方創生、消費者問題、東日本大震災復興に関する六つの特別委員会と、情報監視審査会委員の選任について決定。	['関口昌一']	['防災・災害対策', '行政改革・公務員制度', '人権問題']	False	False
121815254X00120250801_036	121815254X00120250801	峯山昭範元議員の逝去を悼み、院議をもって弔詞をさらし、異議なしとなった。	['関口昌一']	['選挙・政治資金', '行政改革・公務員制度']	False	False
